SRR1298742.3056	IGHD3-22 28 2 
SRR1298742.9199	IGHD6-19 13 0 
SRR1298742.2566	IGHD6-13 13 0 
SRR1298742.6557	IGHD6-13 13 0 
SRR1298742.6457	IGHD3-22 28 2 
SRR1298742.2899	IGHD3-22 28 2 
SRR1298742.4575	IGHD6-13 13 0 
SRR1298742.8887	IGHD2-2 24 0 
SRR1298742.3380	IGHD6-13 13 0 
SRR1298742.6660	IGHD2-2 24 0 
SRR1298742.883	IGHD3-22 16 0 
SRR1298742.845	IGHD6-13 13 0 
SRR1298742.5588	IGHD3-22 28 2 
SRR1298742.8460	IGHD2-2 24 0 
SRR1298742.8976	IGHD2-2 24 0 
SRR1298742.5722	IGHD3-22 28 2 
SRR1298742.2666	IGHD6-13 13 0 
SRR1298742.8075	IGHD2-2 24 0 
SRR1298742.2699	IGHD3-22 28 2 
SRR1298742.8594	IGHD6-13 13 0 
SRR1298742.6452	IGHD2-2 24 0 
SRR1298742.8426	IGHD2-2 24 0 
SRR1298742.3506	IGHD6-13 13 0 
SRR1298742.5329	IGHD6-13 13 0 
SRR1298742.8262	IGHD3-22 28 2 
SRR1298742.387	IGHD6-13 13 0 
SRR1298742.5660	IGHD2-2 24 0 
SRR1298742.5214	IGHD3-22 28 2 
SRR1298742.5080	IGHD3-22 28 2 
SRR1298742.5630	IGHD6-13 13 0 
SRR1298742.5512	IGHD2-2 24 0 
SRR1298742.4703	IGHD3-22 13 0 
SRR1298742.1586	IGHD6-13 13 0 
SRR1298742.9205	IGHD2-2 24 0 
SRR1298742.7109	IGHD2-2 24 0 
SRR1298742.1459	IGHD3-22 28 2 
SRR1298742.3393	IGHD6-13 13 0 
SRR1298742.1912	IGHD3-22 28 2 
SRR1298742.3780	IGHD6-13 13 0 
SRR1298742.8288	IGHD3-10 16 0 
SRR1298742.6258	IGHD3-22 13 0 
SRR1298742.8730	IGHD2-2 24 0 
SRR1298742.6201	IGHD6-13 13 0 
SRR1298742.8150	IGHD2-2 24 0 
SRR1298742.3553	IGHD3-22 13 0 
SRR1298742.132	IGHD3-22 13 0 
SRR1298742.169	IGHD3-22 13 0 
SRR1298742.6032	IGHD3-22 16 0 
SRR1298742.4531	IGHD3-22 28 2 
SRR1298742.4897	IGHD2-2 24 0 
SRR1298742.4232	IGHD6-13 13 0 
SRR1298742.1467	IGHD3-22 13 0 
SRR1298742.5011	IGHD3-22 28 2 
SRR1298742.2189	IGHD3-22 13 0 
SRR1298742.4214	IGHD6-13 13 0 
SRR1298742.911	IGHD6-13 13 0 
SRR1298742.9185	IGHD2-2 24 0 
SRR1298742.8445	IGHD2-2 24 0 
SRR1298742.7711	IGHD3-22 13 0 
SRR1298742.6120	IGHD3-22 16 0 
SRR1298742.8332	IGHD3-22 28 2 
SRR1298742.7305	IGHD3-22 28 2 
SRR1298742.8989	IGHD2-2 24 0 
SRR1298742.487	IGHD6-13 13 0 
SRR1298742.4424	IGHD3-22 13 0 
SRR1298742.2910	IGHD3-22 13 0 
SRR1298742.8461	IGHD6-13 15 0 
SRR1298742.4091	IGHD2-2 24 0 
SRR1298742.211	IGHD3-22 13 0 
SRR1298742.6051	IGHD6-13 13 0 
SRR1298742.701	IGHD3-22 28 2 
SRR1298742.9448	IGHD6-13 13 0 
SRR1298742.3971	IGHD3-22 13 0 
SRR1298742.5874	IGHD2-2 24 0 
SRR1298742.277	IGHD3-22 13 0 
SRR1298742.4526	IGHD3-22 28 2 
SRR1298742.2124	IGHD3-22 28 2 
SRR1298742.5358	IGHD6-13 13 0 
SRR1298742.7075	IGHD2-2 24 0 
SRR1298742.354	IGHD6-13 13 0 
SRR1298742.5275	IGHD3-22 28 2 
SRR1298742.851	IGHD3-22 13 0 
SRR1298742.2610	IGHD3-22 28 2 
SRR1298742.1392	IGHD3-22 13 0 
SRR1298742.1142	IGHD3-22 13 0 
SRR1298742.7369	IGHD6-13 13 0 
SRR1298742.2681	IGHD2-2 24 0 
SRR1298742.6972	IGHD2-2 22 0 
SRR1298742.6337	IGHD6-13 13 0 
SRR1298742.7887	IGHD6-13 13 0 
SRR1298742.5769	IGHD3-22 28 2 
SRR1298742.3431	IGHD6-13 13 0 
SRR1298742.2043	IGHD3-22 13 0 
SRR1298742.3475	IGHD3-22 28 2 
SRR1298742.3405	IGHD3-22 28 2 
SRR1298742.869	IGHD6-13 13 0 
SRR1298742.2168	IGHD6-13 13 0 
SRR1298742.6870	IGHD3-22 28 2 
SRR1298742.229	IGHD3-22 13 0 
SRR1298742.3812	IGHD2-2 24 0 
SRR1298742.4564	IGHD6-13 13 0 
SRR1298742.2213	IGHD6-13 13 0 
SRR1298742.1072	IGHD6-13 13 0 
SRR1298742.7341	IGHD3-22 13 0 
SRR1298742.4052	IGHD2-2 24 0 
SRR1298742.1351	IGHD3-22 28 2 
SRR1298742.6289	IGHD3-22 13 0 
SRR1298742.3890	IGHD3-22 13 0 
SRR1298742.8767	IGHD6-13 13 0 
SRR1298742.6321	IGHD3-22 28 3 
SRR1298742.4495	IGHD2-2 24 0 
SRR1298742.7541	IGHD3-22 13 0 
SRR1298742.7586	IGHD2-2 24 0 
SRR1298742.8592	IGHD3-22 16 0 
SRR1298742.8319	IGHD2-2 24 0 
SRR1298742.8416	IGHD2-2 24 0 
SRR1298742.8653	IGHD2-2 21 0 
SRR1298742.662	IGHD3-22 13 0 
SRR1298742.9286	IGHD6-13 13 0 
SRR1298742.1879	IGHD2-2 24 0 
SRR1298742.6038	IGHD3-22 28 2 
SRR1298742.565	IGHD3-22 16 0 
SRR1298742.324	IGHD6-13 13 0 
SRR1298742.2757	IGHD3-22 28 2 
SRR1298742.5847	IGHD3-22 13 0 
SRR1298742.1627	IGHD6-13 13 0 
SRR1298742.3374	IGHD6-13 13 0 
SRR1298742.5549	IGHD6-13 13 0 
SRR1298742.4397	IGHD2-2 24 0 
SRR1298742.603	IGHD6-13 13 0 
SRR1298742.4789	IGHD3-22 13 0 
SRR1298742.1469	IGHD6-13 13 0 
SRR1298742.8495	IGHD3-22 13 0 
SRR1298742.1832	IGHD2-2 24 0 
SRR1298742.1205	IGHD2-2 24 0 
SRR1298742.8727	IGHD2-2 24 0 
SRR1298742.8950	IGHD2-2 24 0 
SRR1298742.3210	IGHD3-22 16 0 
SRR1298742.7232	IGHD2-2 24 0 
SRR1298742.6852	IGHD2-2 22 0 
SRR1298742.8028	IGHD6-13 13 0 
SRR1298742.7969	IGHD3-22 13 0 
SRR1298742.8050	IGHD2-2 24 0 
SRR1298742.2653	IGHD3-22 13 0 
SRR1298742.9030	IGHD2-2 22 0 
SRR1298742.8916	IGHD2-2 24 0 
SRR1298742.568	IGHD3-22 13 0 
SRR1298742.5576	IGHD3-22 28 2 
SRR1298742.7958	IGHD6-13 13 0 
SRR1298742.5404	IGHD3-22 13 0 
SRR1298742.9177	IGHD2-2 24 0 
SRR1298742.196	IGHD6-13 13 0 
SRR1298742.6489	IGHD6-13 18 1 
SRR1298742.6166	IGHD2-2 24 0 
SRR1298742.9086	IGHD6-13 13 0 
SRR1298742.912	IGHD6-13 13 0 
SRR1298742.18	IGHD3-22 13 0 
SRR1298742.8293	IGHD6-13 13 0 
SRR1298742.6229	IGHD6-13 13 0 
SRR1298742.2995	IGHD2-2 24 0 
SRR1298742.8375	IGHD3-22 13 0 
SRR1298742.4363	IGHD6-13 13 0 
SRR1298742.4391	IGHD2-2 24 0 
SRR1298742.6776	IGHD6-13 13 0 
SRR1298742.2411	IGHD2-2 24 0 
SRR1298742.8845	IGHD3-22 13 0 
SRR1298742.7763	IGHD2-2 24 0 
SRR1298742.2288	IGHD6-13 13 0 
SRR1298742.6612	IGHD3-22 13 0 
SRR1298742.6983	IGHD2-2 24 1 
SRR1298742.3383	IGHD2-2 22 0 
SRR1298742.4880	IGHD6-13 13 0 
SRR1298742.6230	IGHD3-22 13 0 
SRR1298742.8788	IGHD3-22 28 2 
SRR1298742.3514	IGHD3-22 13 0 
SRR1298742.7625	IGHD3-22 28 2 
SRR1298742.209	IGHD6-13 13 0 
SRR1298742.9239	IGHD2-2 24 0 
SRR1298742.870	IGHD6-13 13 0 
SRR1298742.348	IGHD3-22 13 0 
SRR1298742.5372	IGHD2-2 24 0 
SRR1298742.6142	IGHD2-2 24 0 
SRR1298742.4140	IGHD3-22 13 0 
SRR1298742.2773	IGHD2-2 24 0 
SRR1298742.1842	IGHD2-2 24 0 
SRR1298742.8032	IGHD2-2 24 0 
SRR1298742.6189	IGHD6-13 13 0 
SRR1298742.7816	IGHD2-2 24 0 
SRR1298742.9213	IGHD2-2 24 0 
SRR1298742.5852	IGHD3-22 13 0 
SRR1298742.4184	IGHD6-13 13 0 
SRR1298742.4548	IGHD6-13 13 0 
SRR1298742.5105	IGHD2-2 24 0 
SRR1298742.2846	IGHD3-22 28 2 
SRR1298742.5367	IGHD3-22 28 2 
SRR1298742.3340	IGHD3-22 13 0 
SRR1298742.956	IGHD6-13 13 0 
SRR1298742.6832	IGHD2-2 24 0 
SRR1298742.656	IGHD6-13 13 0 
SRR1298742.4325	IGHD6-13 13 0 
SRR1298742.8019	IGHD2-2 24 0 
SRR1298742.8121	IGHD3-22 28 2 
SRR1298742.823	IGHD6-13 13 0 
SRR1298742.5873	IGHD6-13 13 0 
SRR1298742.7598	IGHD3-22 28 2 
SRR1298742.5809	IGHD6-13 13 0 
SRR1298742.2740	IGHD3-22 16 0 
SRR1298742.1567	IGHD6-13 13 0 
SRR1298742.1417	IGHD3-10 16 0 
SRR1298742.5947	IGHD6-13 13 0 
SRR1298742.6168	IGHD2-2 24 1 
SRR1298742.9045	IGHD2-2 24 0 
SRR1298742.7869	IGHD2-2 24 0 
SRR1298742.2265	IGHD3-22 13 0 
SRR1298742.8670	IGHD3-22 28 2 
SRR1298742.673	IGHD6-13 13 0 
SRR1298742.3019	IGHD6-13 13 0 
SRR1298742.3375	IGHD2-2 22 0 
SRR1298742.1870	IGHD3-22 28 2 
SRR1298742.7996	IGHD3-22 13 0 
SRR1298742.4673	IGHD2-2 24 0 
SRR1298742.2793	IGHD6-13 13 0 
SRR1298742.2367	IGHD3-22 28 2 
SRR1298742.1464	IGHD3-22 13 0 
SRR1298742.6896	IGHD3-22 28 2 
SRR1298742.11	IGHD2-2 22 0 
SRR1298742.8361	IGHD3-22 28 2 
SRR1298742.6467	IGHD3-22 13 0 
SRR1298742.628	IGHD6-13 13 0 
SRR1298742.3730	IGHD2-2 24 0 
SRR1298742.8751	IGHD6-13 13 0 
SRR1298742.341	IGHD3-22 28 2 
SRR1298742.8263	IGHD3-22 13 0 
SRR1298742.8947	IGHD3-22 28 2 
SRR1298742.7651	IGHD3-22 21 1 
SRR1298742.6815	IGHD3-22 13 0 
SRR1298742.6402	IGHD3-22 16 0 
SRR1298742.4783	IGHD2-2 24 0 
SRR1298742.4687	IGHD6-13 13 0 
SRR1298742.2474	IGHD6-13 13 0 
SRR1298742.5286	IGHD3-22 13 0 
SRR1298742.4716	IGHD6-13 13 0 
SRR1298742.978	IGHD3-22 13 0 
SRR1298742.3925	IGHD3-10 17 0 
SRR1298742.6544	IGHD2-2 24 0 
SRR1298742.3462	IGHD3-22 13 0 
SRR1298742.3044	IGHD6-13 13 0 
SRR1298742.6877	IGHD3-22 28 2 
SRR1298742.6326	IGHD6-13 13 0 
SRR1298742.5798	IGHD6-13 13 0 
SRR1298742.6212	IGHD2-2 24 0 
SRR1298742.255	IGHD3-22 28 2 
SRR1298742.5207	IGHD3-22 13 0 
SRR1298742.2783	IGHD6-13 13 0 
SRR1298742.2492	IGHD6-13 13 0 
SRR1298742.3481	IGHD2-2 24 0 
SRR1298742.6968	IGHD2-2 24 0 
SRR1298742.5960	IGHD3-10 16 0 
SRR1298742.3877	IGHD6-13 13 0 
SRR1298742.9437	IGHD3-22 28 2 
SRR1298742.418	IGHD3-22 13 0 
SRR1298742.5539	IGHD6-13 13 0 
SRR1298742.6021	IGHD3-22 13 0 
SRR1298742.382	IGHD3-22 13 0 
SRR1298742.3887	IGHD6-13 13 0 
SRR1298742.4335	IGHD6-13 13 0 
SRR1298742.5405	IGHD2-2 24 0 
SRR1298742.4652	IGHD3-22 13 0 
SRR1298742.7928	IGHD2-2 24 0 
SRR1298742.8702	IGHD2-2 24 0 
SRR1298742.7192	IGHD2-2 24 0 
SRR1298742.5192	IGHD6-13 13 0 
SRR1298742.8100	IGHD3-22 13 0 
SRR1298742.8579	IGHD2-2 24 0 
SRR1298742.6005	IGHD2-2 24 0 
SRR1298742.691	IGHD3-22 28 2 
SRR1298742.817	IGHD3-22 13 0 
SRR1298742.171	IGHD6-13 13 0 
SRR1298742.6681	IGHD3-22 28 2 
SRR1298742.7725	IGHD6-13 13 0 
SRR1298742.3192	IGHD3-22 13 0 
SRR1298742.8500	IGHD3-22 28 2 
SRR1298742.6558	IGHD6-13 13 0 
SRR1298742.8584	IGHD3-22 13 0 
SRR1298742.5430	IGHD1-20/1-7 15 0 
SRR1298742.5548	IGHD6-13 13 0 
SRR1298742.3639	IGHD3-22 13 0 
SRR1298742.5513	IGHD2-2 24 0 
SRR1298742.8782	IGHD3-22 28 2 
SRR1298742.2625	IGHD6-13 13 0 
SRR1298742.1229	IGHD6-13 13 0 
SRR1298742.7310	IGHD3-22 28 2 
SRR1298742.7046	IGHD2-2 24 0 
SRR1298742.4251	IGHD2-2 24 0 
SRR1298742.695	IGHD3-22 28 2 
SRR1298742.8563	IGHD2-2 24 0 
SRR1298742.6184	IGHD3-22 13 0 
SRR1298742.1669	IGHD3-22 13 0 
SRR1298742.1752	IGHD3-22 13 0 
SRR1298742.3360	IGHD3-22 28 2 
SRR1298742.4742	IGHD2-2 24 0 
SRR1298742.3626	IGHD6-13 13 0 
SRR1298742.5890	IGHD2-2 22 0 
SRR1298742.5252	IGHD3-22 13 0 
SRR1298742.9316	IGHD2-2 22 0 
SRR1298742.1352	IGHD3-22 28 2 
SRR1298742.5091	IGHD3-22 28 2 
SRR1298742.4522	IGHD6-13 13 0 
SRR1298742.8981	IGHD6-13 13 0 
SRR1298742.9287	IGHD6-13 13 0 
SRR1298742.9361	IGHD3-22 28 2 
SRR1298742.322	IGHD6-13 13 0 
SRR1298742.9141	IGHD2-2 24 0 
SRR1298742.8747	IGHD3-22 28 2 
SRR1298742.8192	IGHD2-2 24 0 
SRR1298742.7748	IGHD2-2 24 0 
SRR1298742.3052	IGHD3-22 13 0 
SRR1298742.2969	IGHD3-22 13 0 
SRR1298742.6392	IGHD3-22 13 0 
SRR1298742.3750	IGHD3-22 28 2 
SRR1298742.5328	IGHD6-13 13 0 
SRR1298742.4781	IGHD2-2 24 0 
SRR1298742.811	IGHD3-22 13 0 
SRR1298742.2704	IGHD6-13 13 0 
SRR1298742.3493	IGHD3-22 28 2 
SRR1298742.7718	IGHD3-22 13 0 
SRR1298742.7512	IGHD2-2 24 1 
SRR1298742.5493	IGHD2-2 24 0 
SRR1298742.3145	IGHD6-13 13 0 
SRR1298742.905	IGHD3-22 28 2 
SRR1298742.7698	IGHD3-22 21 1 
SRR1298742.3326	IGHD2-2 24 0 
SRR1298742.2095	IGHD6-13 13 0 
SRR1298742.7159	IGHD2-2 22 0 
SRR1298742.3101	IGHD2-2 24 0 
SRR1298742.5466	IGHD3-22 28 2 
SRR1298742.1256	IGHD3-22 28 2 
SRR1298742.2676	IGHD6-13 13 0 
SRR1298742.41	IGHD3-22 16 0 
SRR1298742.378	IGHD6-13 13 0 
SRR1298742.2786	IGHD6-13 13 0 
SRR1298742.8970	IGHD2-2 24 0 
SRR1298742.5261	IGHD2-2 24 0 
SRR1298742.5169	IGHD6-13 13 0 
SRR1298742.6312	IGHD6-13 13 0 
SRR1298742.9258	IGHD6-13 13 0 
SRR1298742.7378	IGHD3-22 13 0 
SRR1298742.519	IGHD6-13 13 0 
SRR1298742.2519	IGHD3-22 13 0 
SRR1298742.342	IGHD6-13 13 0 
SRR1298742.3347	IGHD2-2 24 0 
SRR1298742.5460	IGHD2-2 24 0 
SRR1298742.7926	IGHD2-2 24 0 
SRR1298742.3318	IGHD6-13 13 0 
SRR1298742.5659	IGHD6-13 13 0 
SRR1298742.6197	IGHD3-22 28 2 
SRR1298742.1563	IGHD3-22 13 0 
SRR1298742.6764	IGHD2-2 24 0 
SRR1298742.8872	IGHD3-22 28 2 
SRR1298742.8571	IGHD2-2 24 0 
SRR1298742.3859	IGHD6-13 13 0 
SRR1298742.2030	IGHD3-22 28 2 
SRR1298742.8793	IGHD3-22 28 2 
SRR1298742.4925	IGHD3-22 28 2 
SRR1298742.953	IGHD3-22 13 0 
SRR1298742.6280	IGHD3-22 13 0 
SRR1298742.739	IGHD6-13 13 0 
SRR1298742.4465	IGHD3-22 13 0 
SRR1298742.6053	IGHD2-2 24 0 
SRR1298742.8658	IGHD1-1 17 0 IGHD1-20/1-7 17 1 
SRR1298742.2128	IGHD6-13 13 0 
SRR1298742.7469	IGHD2-2 24 0 
SRR1298742.2371	IGHD2-2 22 0 
SRR1298742.7785	IGHD2-2 24 0 
SRR1298742.3193	IGHD2-2 22 0 
SRR1298742.2745	IGHD2-2 24 0 
SRR1298742.2175	IGHD6-13 13 0 
SRR1298742.450	IGHD6-13 13 0 
SRR1298742.7304	IGHD3-22 28 2 
SRR1298742.3297	IGHD3-22 28 2 
SRR1298742.230	IGHD6-13 13 0 
SRR1298742.7357	IGHD2-2 24 0 
SRR1298742.7664	IGHD6-13 13 0 
SRR1298742.1886	IGHD6-13 13 0 
SRR1298742.6370	IGHD3-22 28 2 
SRR1298742.6047	IGHD3-22 28 2 
SRR1298742.2072	IGHD3-22 28 2 
SRR1298742.763	IGHD6-13 13 0 
SRR1298742.8326	IGHD2-2 22 0 
SRR1298742.5607	IGHD6-13 13 0 
SRR1298742.9366	IGHD3-22 13 0 
SRR1298742.8558	IGHD2-2 24 0 
SRR1298742.4425	IGHD2-2 24 0 
SRR1298742.9322	IGHD6-13 13 0 
SRR1298742.3972	IGHD3-22 13 0 
SRR1298742.296	IGHD3-22 13 0 
SRR1298742.4242	IGHD6-13 13 0 
SRR1298742.2120	IGHD6-13 13 0 
SRR1298742.7688	IGHD2-2 24 0 
SRR1298742.6451	IGHD2-2 24 0 
SRR1298742.1649	IGHD3-22 13 0 
SRR1298742.4066	IGHD6-13 13 0 
SRR1298742.4258	IGHD2-2 24 0 
SRR1298742.8390	IGHD2-2 24 0 
SRR1298742.8744	IGHD6-13 13 0 
SRR1298742.8124	IGHD2-2 24 0 
SRR1298742.1255	IGHD6-13 13 0 
SRR1298742.9124	IGHD2-2 24 0 
SRR1298742.2524	IGHD3-22 13 0 
SRR1298742.8303	IGHD3-22 28 2 
SRR1298742.7579	IGHD2-2 24 0 
SRR1298742.3428	IGHD2-2 24 0 
SRR1298742.3621	IGHD6-13 13 0 
SRR1298742.4642	IGHD2-2 24 0 
SRR1298742.6437	IGHD2-2 24 0 
SRR1298742.5312	IGHD2-2 24 0 
SRR1298742.8429	IGHD3-22 28 2 
SRR1298742.8982	IGHD2-2 22 0 
SRR1298742.5536	IGHD2-2 24 0 
SRR1298742.17	IGHD3-22 13 0 
SRR1298742.8604	IGHD2-2 24 0 
SRR1298742.5151	IGHD6-13 13 0 
SRR1298742.2149	IGHD6-25 13 0 
SRR1298742.802	IGHD3-22 28 2 
SRR1298742.4858	IGHD3-22 13 0 
SRR1298742.9181	IGHD2-2 24 0 
SRR1298742.665	IGHD3-22 13 0 
SRR1298742.3076	IGHD6-13 13 0 
SRR1298742.1218	IGHD6-13 13 0 
SRR1298742.1881	IGHD3-22 13 0 
SRR1298742.3336	IGHD2-2 22 0 
SRR1298742.274	IGHD6-13 13 0 
SRR1298742.7063	IGHD2-2 24 0 
SRR1298742.7281	IGHD2-2 24 0 
SRR1298742.5867	IGHD3-22 13 0 
SRR1298742.2067	IGHD3-22 13 0 
SRR1298742.5895	IGHD2-2 24 0 
SRR1298742.175	IGHD6-13 13 0 
SRR1298742.2508	IGHD6-13 13 0 
SRR1298742.5962	IGHD2-2 24 1 
SRR1298742.760	IGHD3-22 13 0 
SRR1298742.2831	IGHD3-22 13 0 
SRR1298742.9196	IGHD6-13 13 0 
SRR1298742.1156	IGHD6-13 13 0 
SRR1298742.5355	IGHD6-13 13 0 
SRR1298742.5926	IGHD2-2 24 1 
SRR1298742.7408	IGHD6-13 13 0 
SRR1298742.3283	IGHD2-2 24 0 
SRR1298742.8306	IGHD6-13 13 0 
SRR1298742.2689	IGHD2-2 24 0 
SRR1298742.7117	IGHD2-2 24 0 
SRR1298742.7582	IGHD2-2 24 0 
SRR1298742.5932	IGHD2-2 24 0 
SRR1298742.1826	IGHD6-13 13 0 
SRR1298742.5218	IGHD2-2 22 0 
SRR1298742.3545	IGHD2-2 24 0 
SRR1298742.1374	IGHD6-13 13 0 
SRR1298742.2059	IGHD6-13 13 0 
SRR1298742.1644	IGHD3-22 13 0 
SRR1298742.9423	IGHD2-2 24 0 
SRR1298742.8729	IGHD6-13 13 0 
SRR1298742.6026	IGHD2-2 24 0 
SRR1298742.5265	IGHD2-2 24 0 
SRR1298742.3378	IGHD3-22 13 0 
SRR1298742.3694	IGHD2-2 24 0 
SRR1298742.9215	IGHD6-13 13 0 
SRR1298742.368	IGHD6-13 13 0 
SRR1298742.250	IGHD6-13 13 0 
SRR1298742.5560	IGHD2-2 24 0 
SRR1298742.1340	IGHD3-22 13 0 
SRR1298742.20	IGHD3-22 13 0 
SRR1298742.5269	IGHD1-1 17 0 IGHD1-20/1-7 17 1 
SRR1298742.6353	IGHD2-2 24 0 
SRR1298742.3669	IGHD3-22 28 2 
SRR1298742.6479	IGHD2-2 24 0 
SRR1298742.630	IGHD3-22 13 0 
SRR1298742.8077	IGHD6-13 13 0 
SRR1298742.1181	IGHD3-22 13 0 
SRR1298742.9015	IGHD3-22 13 0 
SRR1298742.8680	IGHD2-2 24 0 
SRR1298742.900	IGHD2-2 24 0 
SRR1298742.4451	IGHD2-2 24 0 
SRR1298742.3861	IGHD3-22 28 2 
SRR1298742.4238	IGHD3-22 28 2 
SRR1298742.1162	IGHD3-22 13 0 
SRR1298742.4001	IGHD2-2 24 0 
SRR1298742.8009	IGHD2-2 20 0 
SRR1298742.8710	IGHD2-2 24 0 
SRR1298742.9236	IGHD6-13 13 0 
SRR1298742.141	IGHD3-22 13 0 
SRR1298742.3190	IGHD6-19 13 0 
SRR1298742.129	IGHD3-22 13 0 
SRR1298742.4371	IGHD6-13 13 0 
SRR1298742.4135	IGHD6-13 13 0 
SRR1298742.6010	IGHD3-22 13 0 
SRR1298742.7765	IGHD2-2 24 0 
SRR1298742.2615	IGHD3-22 28 2 
SRR1298742.698	IGHD3-22 13 0 
SRR1298742.6711	IGHD3-22 16 0 
SRR1298742.2603	IGHD6-13 13 0 
SRR1298742.1765	IGHD6-13 13 0 
SRR1298742.2112	IGHD3-22 28 2 
SRR1298742.2226	IGHD3-22 13 0 
SRR1298742.8902	IGHD3-22 28 2 
SRR1298742.5863	IGHD3-22 13 0 
SRR1298742.6107	IGHD6-13 13 0 
SRR1298742.8533	IGHD2-2 24 0 
SRR1298742.5125	IGHD6-13 13 0 
SRR1298742.3270	IGHD6-13 13 0 
SRR1298742.5036	IGHD6-13 13 0 
SRR1298742.5164	IGHD3-22 13 0 
SRR1298742.4816	IGHD3-22 28 2 
SRR1298742.3274	IGHD3-22 13 0 
SRR1298742.6390	IGHD2-2 24 0 
SRR1298742.1679	IGHD3-22 28 2 
SRR1298742.8412	IGHD3-22 13 0 
SRR1298742.9356	IGHD2-2 24 0 
SRR1298742.1270	IGHD6-13 13 0 
SRR1298742.2208	IGHD6-13 13 0 
SRR1298742.7275	IGHD6-13 13 0 
SRR1298742.8831	IGHD2-2 24 0 
SRR1298742.1540	IGHD3-22 28 2 
SRR1298742.7723	IGHD6-13 13 0 
SRR1298742.6114	IGHD3-22 28 2 
SRR1298742.8523	IGHD2-2 24 0 
SRR1298742.2157	IGHD6-13 13 0 
SRR1298742.4113	IGHD3-22 28 2 
SRR1298742.4179	IGHD2-2 22 0 
SRR1298742.6325	IGHD2-2 24 0 
SRR1298742.2471	IGHD2-2 24 0 
SRR1298742.4275	IGHD3-22 28 2 
SRR1298742.5944	IGHD3-22 13 0 
SRR1298742.3290	IGHD2-2 24 0 
SRR1298742.7307	IGHD2-2 24 0 
SRR1298742.3862	IGHD6-13 13 0 
SRR1298742.6598	IGHD2-2 24 0 
SRR1298742.6945	IGHD3-22 28 3 
SRR1298742.1695	IGHD3-22 28 2 
SRR1298742.5231	IGHD3-22 28 2 
SRR1298742.1696	IGHD3-22 28 2 
SRR1298742.3660	IGHD2-2 24 0 
SRR1298742.7593	IGHD2-2 24 0 
SRR1298742.7365	IGHD3-22 28 2 
SRR1298742.732	IGHD3-22 13 0 
SRR1298742.3208	IGHD3-22 28 2 
SRR1298742.21	IGHD3-22 13 0 
SRR1298742.5923	IGHD3-22 28 2 
SRR1298742.5547	IGHD2-2 22 0 
SRR1298742.2963	IGHD2-2 24 0 
SRR1298742.7389	IGHD2-2 22 0 
SRR1298742.1104	IGHD6-13 13 0 
SRR1298742.9370	IGHD2-2 24 0 
SRR1298742.6876	IGHD2-2 24 0 
SRR1298742.7160	IGHD6-13 13 0 
SRR1298742.6704	IGHD3-22 13 0 
SRR1298742.2272	IGHD3-22 28 2 
SRR1298742.5166	IGHD6-13 13 0 
SRR1298742.5343	IGHD2-2 24 0 
SRR1298742.7186	IGHD3-22 13 0 
SRR1298742.1334	IGHD3-22 13 0 
SRR1298742.3355	IGHD6-13 13 0 
SRR1298742.7288	IGHD2-2 24 0 
SRR1298742.840	IGHD6-13 13 0 
SRR1298742.5842	IGHD3-22 13 0 
SRR1298742.3745	IGHD3-22 13 0 
SRR1298742.3005	IGHD3-22 13 0 
SRR1298742.6843	IGHD3-22 28 2 
SRR1298742.1623	IGHD3-22 13 0 
SRR1298742.688	IGHD6-13 13 0 
SRR1298742.6044	IGHD6-13 13 0 
SRR1298742.5727	IGHD2-2 24 0 
SRR1298742.5693	IGHD6-13 13 0 
SRR1298742.7355	IGHD6-13 13 0 
SRR1298742.8731	IGHD2-2 24 0 
SRR1298742.6929	IGHD2-2 24 0 
SRR1298742.5373	IGHD6-13 13 0 
SRR1298742.5420	IGHD6-13 13 0 
SRR1298742.2390	IGHD6-13 13 0 
SRR1298742.4253	IGHD3-22 28 2 
SRR1298742.5001	IGHD2-2 24 0 
SRR1298742.6944	IGHD3-22 28 2 
SRR1298742.2328	IGHD2-2 22 0 
SRR1298742.1924	IGHD2-2 22 0 
SRR1298742.8107	IGHD6-13 13 0 
SRR1298742.4370	IGHD2-2 22 0 
SRR1298742.2877	IGHD3-22 13 0 
SRR1298742.2193	IGHD6-13 13 0 
SRR1298742.836	IGHD3-22 28 2 
SRR1298742.9053	IGHD3-22 28 2 
SRR1298742.8059	IGHD3-22 13 0 
SRR1298742.6576	IGHD3-22 16 0 
SRR1298742.4383	IGHD6-13 13 0 
SRR1298742.4866	IGHD2-2 24 0 
SRR1298742.2690	IGHD6-13 13 0 
SRR1298742.5158	IGHD6-13 13 0 
SRR1298742.79	IGHD3-22 28 2 
SRR1298742.8568	IGHD3-22 28 2 
SRR1298742.4385	IGHD3-22 28 2 
SRR1298742.3835	IGHD2-2 24 0 
SRR1298742.4343	IGHD3-22 13 0 
SRR1298742.1716	IGHD3-22 13 0 
SRR1298742.4178	IGHD2-2 24 0 
SRR1298742.6887	IGHD3-22 28 2 
SRR1298742.4878	IGHD3-22 13 0 
SRR1298742.825	IGHD2-2 22 0 
SRR1298742.5334	IGHD2-2 24 0 
SRR1298742.5097	IGHD6-13 13 0 
SRR1298742.6868	IGHD2-2 24 0 
SRR1298742.6827	IGHD2-2 24 0 
SRR1298742.5731	IGHD6-13 13 0 
