SRR1298742.122	IGHG 27 0 
SRR1298742.5313	IGHG 27 0 
SRR1298742.1117	IGHG 27 0 
SRR1298742.8805	IGHM 113 0 
SRR1298742.3069	IGHM 113 0 
SRR1298742.1479	IGHG 29 0 
SRR1298742.2461	IGHG 29 0 
SRR1298742.6978	IGHG 29 0 
SRR1298742.9388	IGHG 29 0 
SRR1298742.2780	IGHM 113 0 
SRR1298742.5551	IGHG 27 0 
SRR1298742.8135	IGHM 113 0 
SRR1298742.2675	IGHG 27 0 
SRR1298742.329	IGHG 29 0 
SRR1298742.4230	IGHG 29 0 
SRR1298742.6713	IGHG 27 0 
SRR1298742.2258	IGHG 29 0 
SRR1298742.8340	IGHG 27 0 
SRR1298742.5734	IGHG 27 0 
SRR1298742.9156	IGHM 113 1 
SRR1298742.719	IGHG 27 0 
SRR1298742.5089	IGHM 113 3 
SRR1298742.7647	IGHG 27 0 
SRR1298742.1569	IGHM 113 0 
SRR1298742.1280	IGHG 27 0 
SRR1298742.2071	IGHG 29 0 
SRR1298742.310	IGHG 29 0 
SRR1298742.2393	IGHG 29 0 
SRR1298742.2280	IGHG 29 0 
SRR1298742.5246	IGHM 113 0 
SRR1298742.3999	IGHG 27 0 
SRR1298742.9105	IGHM 113 0 
SRR1298742.7691	IGHG 27 0 
SRR1298742.5980	IGHG 29 0 
SRR1298742.7760	IGHG 27 0 
SRR1298742.5100	IGHG 27 0 
SRR1298742.994	IGHG 27 0 
SRR1298742.6885	IGHG 27 0 
SRR1298742.1778	IGHG 29 0 
SRR1298742.6074	IGHM 113 0 
SRR1298742.922	IGHG 29 0 
SRR1298742.8296	IGHM 113 0 
SRR1298742.4809	IGHM 113 0 
SRR1298742.7899	IGHM 113 0 
SRR1298742.2257	IGHG 29 0 
SRR1298742.7456	IGHG 27 0 
SRR1298742.5562	IGHM 113 1 
SRR1298742.7256	IGHG 27 0 
SRR1298742.1942	IGHG 27 0 
SRR1298742.3164	IGHG 29 0 
SRR1298742.8358	IGHG 27 0 
SRR1298742.2231	IGHM 113 0 
SRR1298742.1549	IGHG 29 0 
SRR1298742.5463	IGHG 27 0 
SRR1298742.1129	IGHG 27 0 
SRR1298742.6430	IGHM 113 0 
SRR1298742.7995	IGHG 27 0 
SRR1298742.8476	IGHM 113 1 
SRR1298742.1923	IGHG 27 0 
SRR1298742.8489	IGHM 113 0 
SRR1298742.1688	IGHM 113 0 
SRR1298742.9314	IGHG 29 0 
SRR1298742.7787	IGHG 27 0 
SRR1298742.8525	IGHM 113 1 
SRR1298742.1968	IGHM 113 0 
SRR1298742.1785	IGHM 113 0 
SRR1298742.4044	IGHM 113 0 
SRR1298742.574	IGHG 29 0 
SRR1298742.4946	IGHG 29 0 
SRR1298742.8635	IGHG 29 0 
SRR1298742.1057	IGHG 29 0 
SRR1298742.6095	IGHM 113 0 
SRR1298742.8339	IGHG 27 0 
SRR1298742.6455	IGHG 27 0 
SRR1298742.1747	IGHM 113 0 
SRR1298742.351	IGHG 29 0 
SRR1298742.4362	IGHG 27 0 
SRR1298742.6611	IGHM 113 1 
SRR1298742.8787	IGHM 113 0 
SRR1298742.4485	IGHG 27 0 
SRR1298742.5239	IGHG 27 0 
SRR1298742.6040	IGHM 113 0 
SRR1298742.9209	IGHG 27 0 
SRR1298742.4365	IGHG 29 0 
SRR1298742.2416	IGHG 27 0 
SRR1298742.3648	IGHM 113 3 
SRR1298742.8548	IGHG 27 0 
SRR1298742.3970	IGHM 113 0 
SRR1298742.2464	IGHG 28 0 
SRR1298742.877	IGHG 29 0 
SRR1298742.6369	IGHG 26 0 
SRR1298742.4660	IGHM 113 0 
SRR1298742.8909	IGHG 29 0 
SRR1298742.6601	IGHG 29 0 
SRR1298742.361	IGHG 29 0 
SRR1298742.5084	IGHM 113 1 
SRR1298742.417	IGHG 27 0 
SRR1298742.8991	IGHM 113 0 
SRR1298742.7701	IGHM 113 1 
SRR1298742.5123	IGHG 27 0 
SRR1298742.6181	IGHM 113 1 
SRR1298742.7653	IGHM 113 0 
SRR1298742.6210	IGHM 113 0 
SRR1298742.1875	IGHG 27 0 
SRR1298742.5274	IGHG 27 0 
SRR1298742.2854	IGHG 29 0 
SRR1298742.7437	IGHM 113 0 
SRR1298742.3644	IGHG 27 0 
SRR1298742.1788	IGHG 29 0 
SRR1298742.9439	IGHG 27 0 
SRR1298742.6934	IGHG 27 0 
SRR1298742.6243	IGHM 113 0 
SRR1298742.4677	IGHG 27 0 
SRR1298742.4675	IGHM 113 0 
SRR1298742.2565	IGHM 113 1 
SRR1298742.5952	IGHM 113 0 
SRR1298742.2249	IGHG 27 0 
SRR1298742.933	IGHG 27 0 
SRR1298742.4765	IGHG 29 0 
SRR1298742.613	IGHG 27 0 
SRR1298742.5440	IGHG 29 0 
SRR1298742.6915	IGHM 113 1 
SRR1298742.7485	IGHM 114 0 
SRR1298742.1500	IGHG 29 0 
SRR1298742.8331	IGHM 113 0 
SRR1298742.2575	IGHG 27 0 
SRR1298742.1428	IGHG 29 0 
SRR1298742.5707	IGHG 29 0 
SRR1298742.2606	IGHG 27 0 
SRR1298742.2639	IGHG 27 0 
SRR1298742.9087	IGHM 113 3 
SRR1298742.5686	IGHG 27 0 
SRR1298742.5340	IGHG 29 0 
SRR1298742.5190	IGHG 29 0 
SRR1298742.7819	IGHM 113 0 
SRR1298742.2819	IGHM 113 0 
SRR1298742.6001	IGHM 113 0 
SRR1298742.2103	IGHG 27 0 
SRR1298742.914	IGHG 27 0 
SRR1298742.8269	IGHM 113 0 
SRR1298742.7395	IGHG 27 0 
SRR1298742.4464	IGHG 27 0 
SRR1298742.4152	IGHG 27 0 
SRR1298742.5788	IGHG 27 0 
SRR1298742.585	IGHG 27 0 
SRR1298742.7363	IGHM 113 0 
SRR1298742.1950	IGHG 27 0 
SRR1298742.8738	IGHM 113 1 
SRR1298742.5370	IGHG 27 0 
SRR1298742.2797	IGHG 27 0 
SRR1298742.4669	IGHM 113 0 
SRR1298742.6973	IGHM 113 1 
SRR1298742.4694	IGHG 29 0 
SRR1298742.2159	IGHG 27 0 
SRR1298742.45	IGHG 26 0 
SRR1298742.6796	IGHM 113 0 
SRR1298742.3797	IGHG 27 0 
SRR1298742.2294	IGHM 113 0 
SRR1298742.7696	IGHM 113 0 
SRR1298742.2881	IGHM 113 0 
SRR1298742.8977	IGHG 21 0 
SRR1298742.6164	IGHM 113 0 
SRR1298742.522	IGHG 29 0 
SRR1298742.7673	IGHG 29 0 
SRR1298742.2476	IGHG 22 0 
SRR1298742.273	IGHG 29 0 
SRR1298742.6309	IGHM 113 1 
SRR1298742.8736	IGHG 27 0 
SRR1298742.3094	IGHG 29 0 
SRR1298742.4812	IGHG 27 0 
SRR1298742.4699	IGHM 113 0 
SRR1298742.2621	IGHG 27 0 
SRR1298742.2530	IGHG 29 0 
SRR1298742.1180	IGHM 113 3 
SRR1298742.2161	IGHG 29 0 
SRR1298742.6064	IGHG 27 0 
SRR1298742.1271	IGHG 27 0 
SRR1298742.6191	IGHM 113 0 
SRR1298742.7847	IGHM 113 0 
SRR1298742.3954	IGHG 26 0 
SRR1298742.1023	IGHG 29 0 
SRR1298742.7071	IGHM 113 0 
SRR1298742.9376	IGHM 113 0 
SRR1298742.5685	IGHG 29 0 
SRR1298742.1426	IGHG 29 0 
SRR1298742.3892	IGHM 113 0 
SRR1298742.5884	IGHM 113 0 
SRR1298742.5212	IGHG 29 0 
SRR1298742.5191	IGHG 27 0 
SRR1298742.837	IGHG 29 0 
SRR1298742.4209	IGHG 27 0 
SRR1298742.3712	IGHG 27 0 
SRR1298742.7302	IGHM 113 0 
SRR1298742.1504	IGHM 113 1 
SRR1298742.1937	IGHG 27 0 
SRR1298742.1414	IGHG 26 0 
SRR1298742.5888	IGHG 27 0 
SRR1298742.3961	IGHG 27 0 
SRR1298742.8058	IGHG 27 0 
SRR1298742.3793	IGHM 113 0 
SRR1298742.1439	IGHG 27 0 
SRR1298742.7155	IGHG 27 0 
SRR1298742.9164	IGHG 29 0 
SRR1298742.5661	IGHM 113 0 
SRR1298742.2396	IGHG 27 0 
SRR1298742.6910	IGHM 113 0 
SRR1298742.644	IGHM 113 0 
SRR1298742.6831	IGHG 27 0 
SRR1298742.7163	IGHG 29 0 
SRR1298742.5861	IGHG 27 0 
SRR1298742.7183	IGHM 113 0 
SRR1298742.257	IGHM 113 0 
SRR1298742.8567	IGHG 27 0 
SRR1298742.6532	IGHG 27 0 
SRR1298742.7134	IGHG 29 0 
SRR1298742.5601	IGHG 29 0 
SRR1298742.6687	IGHG 27 0 
SRR1298742.2134	IGHG 27 0 
SRR1298742.2131	IGHG 27 0 
SRR1298742.4444	IGHM 113 0 
SRR1298742.6635	IGHM 113 1 
SRR1298742.9208	IGHM 113 0 
SRR1298742.8049	IGHG 29 0 
SRR1298742.8693	IGHM 113 0 
SRR1298742.2295	IGHM 113 0 
SRR1298742.3652	IGHM 113 0 
SRR1298742.4848	IGHG 27 0 
SRR1298742.7504	IGHM 111 0 
SRR1298742.5935	IGHG 29 0 
SRR1298742.8406	IGHM 113 0 
SRR1298742.1946	IGHG 27 0 
SRR1298742.5983	IGHG 27 0 
SRR1298742.6100	IGHG 29 0 
SRR1298742.2787	IGHM 113 0 
SRR1298742.6096	IGHM 113 0 
SRR1298742.9355	IGHM 113 0 
SRR1298742.7514	IGHM 113 0 
SRR1298742.5520	IGHG 27 0 
SRR1298742.1039	IGHG 29 0 
SRR1298742.6151	IGHM 113 0 
SRR1298742.2752	IGHG 27 0 
SRR1298742.5103	IGHG 28 0 
SRR1298742.4777	IGHG 27 0 
SRR1298742.2320	IGHG 27 0 
SRR1298742.1980	IGHM 113 0 
SRR1298742.4448	IGHG 27 0 
SRR1298742.5465	IGHM 113 1 
SRR1298742.2861	IGHM 113 0 
SRR1298742.8694	IGHG 27 0 
SRR1298742.6865	IGHM 113 1 
SRR1298742.1935	IGHM 113 0 
SRR1298742.8118	IGHM 113 0 
SRR1298742.5468	IGHM 113 0 
SRR1298742.3881	IGHM 113 0 
SRR1298742.3777	IGHM 113 1 
SRR1298742.9432	IGHG 29 0 
SRR1298742.7497	IGHG 29 0 
SRR1298742.298	IGHG 27 0 
SRR1298742.2574	IGHG 27 0 
SRR1298742.7428	IGHM 113 2 
SRR1298742.2876	IGHG 29 0 
SRR1298742.4756	IGHM 113 0 
SRR1298742.7496	IGHG 29 0 
SRR1298742.6661	IGHM 113 0 
SRR1298742.4373	IGHM 113 0 
SRR1298742.5820	IGHG 27 0 
SRR1298742.4805	IGHM 110 0 
SRR1298742.2656	IGHM 113 0 
SRR1298742.1589	IGHG 27 0 
SRR1298742.3744	IGHG 29 0 
SRR1298742.7080	IGHM 115 1 
SRR1298742.1547	IGHG 27 0 
SRR1298742.9224	IGHM 114 0 
SRR1298742.243	IGHG 27 0 
SRR1298742.5848	IGHG 27 0 
SRR1298742.1522	IGHG 27 0 
SRR1298742.5821	IGHG 27 0 
SRR1298742.2261	IGHG 29 0 
SRR1298742.3398	IGHG 29 0 
SRR1298742.8490	IGHM 113 0 
SRR1298742.8213	IGHG 29 0 
SRR1298742.6814	IGHM 113 0 
SRR1298742.2684	IGHG 29 0 
SRR1298742.6316	IGHM 113 0 
SRR1298742.3864	IGHG 27 0 
SRR1298742.8661	IGHG 29 0 
SRR1298742.7754	IGHG 27 0 
SRR1298742.358	IGHG 27 0 
SRR1298742.5350	IGHM 113 0 
SRR1298742.6110	IGHG 27 0 
SRR1298742.8672	IGHM 113 0 
SRR1298742.7648	IGHG 27 0 
SRR1298742.6722	IGHM 113 0 
SRR1298742.512	IGHG 27 0 
SRR1298742.5881	IGHG 27 0 
SRR1298742.5005	IGHG 27 0 
SRR1298742.1441	IGHG 27 0 
SRR1298742.8703	IGHG 29 0 
SRR1298742.6990	IGHM 113 0 
SRR1298742.2096	IGHG 27 0 
SRR1298742.1559	IGHG 27 0 
SRR1298742.8585	IGHM 113 0 
SRR1298742.2395	IGHG 27 0 
SRR1298742.906	IGHG 29 0 
SRR1298742.8449	IGHG 27 0 
SRR1298742.7606	IGHM 113 0 
SRR1298742.8437	IGHG 27 0 
SRR1298742.4982	IGHG 27 0 
SRR1298742.7463	IGHM 113 0 
SRR1298742.4074	IGHG 27 0 
SRR1298742.7868	IGHG 29 0 
SRR1298742.6683	IGHM 113 0 
SRR1298742.3714	IGHG 29 0 
SRR1298742.6882	IGHM 113 0 
SRR1298742.5491	IGHG 27 0 
SRR1298742.531	IGHG 28 0 
SRR1298742.7471	IGHG 27 0 
SRR1298742.2706	IGHG 27 0 
SRR1298742.5220	IGHG 27 0 
SRR1298742.5782	IGHG 29 0 
SRR1298742.8906	IGHG 29 0 
SRR1298742.7944	IGHG 29 0 
SRR1298742.9059	IGHM 113 0 
SRR1298742.7415	IGHM 113 0 
SRR1298742.6571	IGHG 27 0 
SRR1298742.2659	IGHG 27 0 
SRR1298742.1726	IGHG 27 0 
SRR1298742.6930	IGHM 113 0 
SRR1298742.7116	IGHM 113 0 
SRR1298742.3140	IGHM 113 3 
SRR1298742.5094	IGHM 113 0 
SRR1298742.8082	IGHM 113 0 
SRR1298742.8448	IGHG 29 0 
SRR1298742.7224	IGHG 29 0 
SRR1298742.6563	IGHM 113 0 
SRR1298742.8327	IGHG 27 0 
SRR1298742.119	IGHG 29 0 
SRR1298742.3937	IGHG 27 0 
SRR1298742.6364	IGHM 113 1 
SRR1298742.4437	IGHM 113 0 
SRR1298742.2942	IGHG 27 0 
SRR1298742.2947	IGHM 113 0 
SRR1298742.2308	IGHM 113 0 
SRR1298742.637	IGHG 28 0 
SRR1298742.5533	IGHG 29 0 
SRR1298742.2060	IGHG 29 0 
SRR1298742.3486	IGHM 113 0 
SRR1298742.7162	IGHG 26 0 
SRR1298742.4324	IGHM 113 0 
SRR1298742.8685	IGHM 113 0 
SRR1298742.3149	IGHM 113 0 
SRR1298742.6854	IGHG 27 0 
SRR1298742.7707	IGHM 113 0 
SRR1298742.4389	IGHG 29 0 
SRR1298742.7473	IGHM 113 0 
SRR1298742.530	IGHG 27 0 
SRR1298742.2178	IGHG 29 0 
SRR1298742.4987	IGHG 29 0 
SRR1298742.1940	IGHG 29 0 
SRR1298742.375	IGHG 29 0 
SRR1298742.5323	IGHM 113 1 
SRR1298742.1568	IGHG 28 0 
SRR1298742.2259	IGHG 29 0 
SRR1298742.3239	IGHM 113 0 
SRR1298742.897	IGHG 26 0 
SRR1298742.9391	IGHM 113 0 
SRR1298742.6491	IGHG 27 0 
SRR1298742.402	IGHG 26 0 
SRR1298742.6174	IGHM 113 0 
SRR1298742.3240	IGHM 113 0 
SRR1298742.219	IGHG 29 0 
SRR1298742.1080	IGHG 27 0 
SRR1298742.3185	IGHG 27 0 
SRR1298742.7370	IGHM 113 1 
SRR1298742.6428	IGHM 113 0 
SRR1298742.4709	IGHG 29 0 
SRR1298742.776	IGHG 27 0 
SRR1298742.4114	IGHG 27 0 
SRR1298742.4483	IGHM 113 1 
SRR1298742.7714	IGHG 29 0 
SRR1298742.4422	IGHM 113 0 
SRR1298742.2984	IGHG 27 0 
SRR1298742.6914	IGHG 29 0 
SRR1298742.2691	IGHG 27 0 
SRR1298742.1619	IGHG 27 0 
SRR1298742.311	IGHG 26 0 
SRR1298742.7476	IGHM 113 0 
SRR1298742.1267	IGHG 27 0 
SRR1298742.4154	IGHG 27 0 
SRR1298742.1819	IGHG 27 0 
SRR1298742.436	IGHG 26 0 
SRR1298742.2496	IGHM 113 3 
SRR1298742.3132	IGHG 27 0 
SRR1298742.1082	IGHG 27 0 
SRR1298742.5610	IGHG 27 0 
SRR1298742.1165	IGHG 27 0 
SRR1298742.4345	IGHM 113 0 
SRR1298742.5458	IGHM 113 0 
SRR1298742.8051	IGHG 27 0 
SRR1298742.843	IGHG 27 0 
SRR1298742.4159	IGHG 27 0 
SRR1298742.5142	IGHM 113 0 
SRR1298742.4415	IGHG 29 0 
SRR1298742.8795	IGHG 27 0 
SRR1298742.9230	IGHG 27 0 
SRR1298742.5495	IGHG 29 0 
SRR1298742.5522	IGHG 27 0 
SRR1298742.292	IGHG 27 0 
SRR1298742.8031	IGHG 27 0 
SRR1298742.7283	IGHG 27 0 
SRR1298742.1710	IGHG 27 0 
SRR1298742.3703	IGHG 29 0 
SRR1298742.6772	IGHM 113 0 
SRR1298742.7179	IGHG 27 0 
SRR1298742.1596	IGHG 27 0 
SRR1298742.75	IGHG 27 0 
SRR1298742.3386	IGHG 29 0 
SRR1298742.4617	IGHM 113 0 
SRR1298742.5976	IGHM 113 1 
SRR1298742.9153	IGHM 113 0 
SRR1298742.8464	IGHM 113 0 
SRR1298742.3738	IGHM 113 0 
SRR1298742.6424	IGHG 27 0 
SRR1298742.1332	IGHG 27 0 
SRR1298742.5779	IGHG 29 0 
SRR1298742.7405	IGHM 113 0 
SRR1298742.1906	IGHM 113 0 
SRR1298742.8474	IGHM 113 0 
SRR1298742.2763	IGHG 29 0 
SRR1298742.7066	IGHM 113 0 
SRR1298742.4976	IGHG 29 0 
SRR1298742.6514	IGHM 113 0 
SRR1298742.5422	IGHG 29 0 
SRR1298742.7721	IGHG 27 0 
SRR1298742.2634	IGHG 27 0 
SRR1298742.3166	IGHG 25 0 
SRR1298742.5832	IGHG 27 0 
SRR1298742.6129	IGHG 29 0 
SRR1298742.7839	IGHM 113 0 
SRR1298742.420	IGHG 26 0 
SRR1298742.3706	IGHG 27 0 
SRR1298742.6310	IGHG 29 0 
SRR1298742.3204	IGHG 27 0 
SRR1298742.2512	IGHG 29 0 
SRR1298742.7340	IGHM 113 1 
SRR1298742.7888	IGHG 26 0 
SRR1298742.42	IGHG 27 0 
SRR1298742.2339	IGHM 113 0 
SRR1298742.9324	IGHG 27 0 
SRR1298742.7826	IGHM 113 0 
SRR1298742.4539	IGHG 29 0 
SRR1298742.8520	IGHM 113 0 
SRR1298742.6205	IGHM 113 0 
SRR1298742.9102	IGHM 110 1 
SRR1298742.8516	IGHG 29 0 
SRR1298742.9380	IGHG 29 0 
SRR1298742.5499	IGHM 113 0 
SRR1298742.8469	IGHM 113 1 
SRR1298742.775	IGHG 29 0 
SRR1298742.7197	IGHM 113 0 
SRR1298742.3245	IGHG 29 0 
SRR1298742.7025	IGHM 113 0 
SRR1298742.6820	IGHG 27 0 
SRR1298742.4530	IGHM 113 0 
SRR1298742.2481	IGHM 113 0 
SRR1298742.4268	IGHM 113 1 
SRR1298742.6235	IGHM 113 0 
SRR1298742.1807	IGHG 27 0 
SRR1298742.6113	IGHM 113 0 
SRR1298742.3928	IGHG 27 0 
SRR1298742.5141	IGHG 27 0 
SRR1298742.4481	IGHM 113 0 
SRR1298742.1217	IGHM 113 0 
SRR1298742.7692	IGHM 113 0 
SRR1298742.490	IGHG 29 0 
SRR1298742.5082	IGHM 113 0 
SRR1298742.9223	IGHM 113 0 
SRR1298742.5830	IGHM 114 0 
SRR1298742.8613	IGHG 27 0 
SRR1298742.4326	IGHM 113 0 
SRR1298742.7753	IGHG 27 0 
SRR1298742.711	IGHG 29 0 
SRR1298742.2302	IGHG 29 0 
SRR1298742.4681	IGHG 27 0 
SRR1298742.4552	IGHM 113 0 
SRR1298742.9436	IGHG 29 0 
SRR1298742.1045	IGHG 29 0 
SRR1298742.7059	IGHG 29 0 
SRR1298742.2886	IGHG 27 0 
SRR1298742.6615	IGHG 27 0 
SRR1298742.3911	IGHG 27 0 
SRR1298742.287	IGHG 27 0 
SRR1298742.8503	IGHG 27 0 
SRR1298742.464	IGHG 27 0 
SRR1298742.444	IGHG 29 0 
SRR1298742.1573	IGHG 27 0 
SRR1298742.4080	IGHM 113 0 
SRR1298742.4469	IGHG 27 0 
SRR1298742.8143	IGHM 113 0 
SRR1298742.3615	IGHG 29 0 
SRR1298742.3875	IGHM 113 0 
SRR1298742.2540	IGHG 27 0 
SRR1298742.7526	IGHG 27 0 
SRR1298742.1947	IGHG 29 0 
SRR1298742.4711	IGHG 27 0 
SRR1298742.5814	IGHG 29 0 
SRR1298742.7157	IGHG 27 0 
SRR1298742.4718	IGHM 113 1 
SRR1298742.2900	IGHM 113 0 
SRR1298742.1497	IGHG 26 0 
SRR1298742.4187	IGHG 27 0 
SRR1298742.7676	IGHM 113 0 
SRR1298742.1806	IGHG 27 0 
SRR1298742.6391	IGHM 113 0 
SRR1298742.7971	IGHG 29 0 
SRR1298742.5739	IGHM 113 0 
SRR1298742.1776	IGHM 113 0 
SRR1298742.6133	IGHG 29 0 
SRR1298742.355	IGHG 29 0 
SRR1298742.1664	IGHG 27 0 
SRR1298742.5927	IGHG 27 0 
SRR1298742.7973	IGHG 27 0 
SRR1298742.4360	IGHG 21 0 
SRR1298742.5757	IGHG 27 0 
SRR1298742.4902	IGHM 113 0 
SRR1298742.3449	IGHG 27 0 
SRR1298742.5920	IGHG 29 0 
SRR1298742.3907	IGHG 27 0 
SRR1298742.3610	IGHG 27 0 
SRR1298742.606	IGHM 113 0 
SRR1298742.7111	IGHM 113 0 
SRR1298742.1408	IGHM 114 0 
SRR1298742.4117	IGHG 27 0 
SRR1298742.2495	IGHG 27 0 
SRR1298742.5815	IGHG 27 0 
SRR1298742.3251	IGHG 29 0 
SRR1298742.7151	IGHG 27 0 
SRR1298742.6648	IGHM 113 0 
SRR1298742.5324	IGHM 113 0 
SRR1298742.785	IGHG 27 0 
SRR1298742.286	IGHG 29 0 
SRR1298742.2970	IGHG 26 0 
SRR1298742.3392	IGHM 113 1 
SRR1298742.7209	IGHG 29 0 
SRR1298742.6217	IGHM 114 3 
SRR1298742.2810	IGHM 113 3 
SRR1298742.429	IGHM 113 0 
SRR1298742.3530	IGHG 27 0 
SRR1298742.3981	IGHG 27 0 
SRR1298742.8129	IGHG 26 0 
SRR1298742.3879	IGHG 27 0 
SRR1298742.2703	IGHG 29 0 
SRR1298742.8324	IGHG 27 0 
SRR1298742.5590	IGHG 27 0 
SRR1298742.2838	IGHG 27 0 
SRR1298742.442	IGHG 27 0 
SRR1298742.3050	IGHG 27 0 
SRR1298742.8636	IGHM 113 0 
SRR1298742.1415	IGHG 29 0 
SRR1298742.8792	IGHM 113 1 
SRR1298742.8291	IGHM 113 0 
SRR1298742.4861	IGHM 113 0 
SRR1298742.7750	IGHM 113 0 
SRR1298742.952	IGHG 27 0 
SRR1298742.4702	IGHM 113 0 
SRR1298742.1779	IGHG 27 0 
SRR1298742.5476	IGHG 29 0 
SRR1298742.7090	IGHG 27 0 
SRR1298742.2130	IGHG 27 0 
SRR1298742.1993	IGHG 29 0 
SRR1298742.8796	IGHG 27 0 
SRR1298742.1119	IGHG 27 0 
SRR1298742.39	IGHG 27 0 
SRR1298742.5131	IGHG 27 0 
SRR1298742.3121	IGHG 29 0 
SRR1298742.5778	IGHG 27 0 
SRR1298742.300	IGHG 27 0 
SRR1298742.6035	IGHG 29 0 
SRR1298742.4011	IGHM 113 0 
SRR1298742.6048	IGHG 29 0 
SRR1298742.4400	IGHG 29 0 
SRR1298742.1000	IGHG 27 0 
SRR1298742.8750	IGHM 113 0 
SRR1298742.8507	IGHM 113 0 
SRR1298742.4834	IGHG 27 0 
SRR1298742.2097	IGHG 29 0 
SRR1298742.8712	IGHG 29 0 
SRR1298742.9271	IGHG 27 0 
SRR1298742.2523	IGHG 27 0 
SRR1298742.7777	IGHG 29 0 
SRR1298742.2238	IGHG 27 0 
SRR1298742.6081	IGHM 113 1 
SRR1298742.6285	IGHG 27 0 
SRR1298742.7333	IGHG 29 0 
SRR1298742.8830	IGHG 28 0 
SRR1298742.6941	IGHG 27 0 
SRR1298742.6513	IGHM 113 0 
SRR1298742.9295	IGHM 113 0 
SRR1298742.8321	IGHG 29 0 
SRR1298742.4101	IGHG 27 0 
SRR1298742.5628	IGHG 29 0 
SRR1298742.5290	IGHG 29 0 
SRR1298742.248	IGHG 27 0 
SRR1298742.2648	IGHG 29 0 
SRR1298742.4917	IGHG 29 0 
SRR1298742.7591	IGHG 27 0 
SRR1298742.2605	IGHG 27 0 
SRR1298742.4814	IGHG 29 0 
SRR1298742.448	IGHG 27 0 
SRR1298742.6666	IGHG 29 0 
SRR1298742.4508	IGHM 113 0 
SRR1298742.4719	IGHG 27 0 
SRR1298742.6016	IGHM 113 0 
SRR1298742.7225	IGHM 113 0 
SRR1298742.4769	IGHG 29 0 
SRR1298742.3806	IGHG 27 0 
SRR1298742.1113	IGHG 27 0 
SRR1298742.6975	IGHG 27 0 
SRR1298742.4533	IGHM 113 0 
SRR1298742.9235	IGHG 27 0 
SRR1298742.2764	IGHG 27 0 
SRR1298742.1494	IGHG 27 0 
SRR1298742.6341	IGHM 113 1 
SRR1298742.772	IGHG 27 0 
SRR1298742.2154	IGHG 29 0 
SRR1298742.5338	IGHM 113 0 
SRR1298742.570	IGHG 27 0 
SRR1298742.2399	IGHG 27 0 
SRR1298742.8457	IGHG 29 0 
SRR1298742.2196	IGHG 29 0 
SRR1298742.1397	IGHG 26 0 
SRR1298742.727	IGHG 29 0 
SRR1298742.7429	IGHM 113 0 
SRR1298742.1049	IGHG 28 0 
SRR1298742.7175	IGHG 27 0 
SRR1298742.6433	IGHM 113 0 
SRR1298742.855	IGHG 28 0 
SRR1298742.1413	IGHG 27 0 
SRR1298742.4123	IGHM 113 0 
SRR1298742.1071	IGHM 114 0 
SRR1298742.6088	IGHG 29 0 
SRR1298742.7317	IGHG 29 0 
SRR1298742.6078	IGHG 27 0 
SRR1298742.5766	IGHG 29 0 
SRR1298742.3802	IGHG 29 0 
SRR1298742.3286	IGHG 27 0 
SRR1298742.801	IGHG 27 0 
SRR1298742.5916	IGHM 113 1 
SRR1298742.5598	IGHM 113 0 
SRR1298742.7624	IGHM 113 0 
SRR1298742.838	IGHM 113 0 
SRR1298742.4045	IGHG 27 0 
SRR1298742.7659	IGHM 113 1 
SRR1298742.7398	IGHM 113 1 
SRR1298742.2856	IGHG 29 0 
SRR1298742.2683	IGHG 27 0 
SRR1298742.4922	IGHM 113 0 
SRR1298742.6266	IGHG 29 0 
SRR1298742.7200	IGHM 113 0 
SRR1298742.7737	IGHM 113 0 
SRR1298742.1199	IGHG 29 0 
SRR1298742.9173	IGHM 113 0 
SRR1298742.6031	IGHG 29 0 
SRR1298742.4222	IGHG 27 0 
SRR1298742.1680	IGHG 25 0 
SRR1298742.1177	IGHM 113 0 
SRR1298742.4620	IGHG 27 0 
SRR1298742.4574	IGHG 29 0 
SRR1298742.2426	IGHG 27 0 
SRR1298742.1393	IGHG 27 0 
SRR1298742.5672	IGHM 113 0 
SRR1298742.6206	IGHG 27 0 
SRR1298742.6036	IGHG 27 0 
SRR1298742.8829	IGHM 113 0 
SRR1298742.8092	IGHM 113 0 
SRR1298742.2885	IGHG 29 0 
SRR1298742.9398	IGHG 27 0 
SRR1298742.9120	IGHM 113 1 
SRR1298742.4115	IGHM 113 0 
SRR1298742.458	IGHM 113 0 
SRR1298742.2266	IGHM 113 0 
SRR1298742.3156	IGHM 113 0 
SRR1298742.5086	IGHG 27 0 
SRR1298742.867	IGHG 27 0 
SRR1298742.5318	IGHG 26 0 
SRR1298742.7709	IGHM 113 0 
SRR1298742.7245	IGHM 113 0 
SRR1298742.9109	IGHG 29 0 
SRR1298742.9462	IGHM 113 0 
SRR1298742.2169	IGHG 29 0 
SRR1298742.3996	IGHG 27 0 
SRR1298742.7614	IGHG 27 0 
SRR1298742.9245	IGHM 113 0 
SRR1298742.7863	IGHG 27 0 
SRR1298742.3885	IGHG 27 0 
SRR1298742.8473	IGHG 27 0 
SRR1298742.1892	IGHG 27 0 
SRR1298742.6468	IGHG 29 0 
SRR1298742.7825	IGHM 113 0 
SRR1298742.4191	IGHG 27 0 
SRR1298742.1570	IGHG 27 0 
SRR1298742.3479	IGHG 29 0 
SRR1298742.6738	IGHG 27 0 
