SRR1298742.4027	IGHJ2 49 3 
SRR1298742.1865	IGHJ6 41 1 
SRR1298742.100	IGHJ6 46 1 
SRR1298742.3591	IGHJ5 49 0 
SRR1298742.8203	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.7747	IGHJ6 46 1 
SRR1298742.1124	IGHJ6 46 1 
SRR1298742.8983	IGHJ6 46 2 
SRR1298742.930	IGHJ6 46 1 
SRR1298742.1714	IGHJ6 46 1 
SRR1298742.3526	IGHJ6 46 1 
SRR1298742.2682	IGHJ6 58 3 
SRR1298742.6745	IGHJ6 58 4 
SRR1298742.5449	IGHJ6 46 2 
SRR1298742.7967	IGHJ5 49 0 
SRR1298742.8061	IGHJ6 49 3 
SRR1298742.6624	IGHJ5 49 1 
SRR1298742.3139	IGHJ4 46 2 
SRR1298742.5401	IGHJ6 46 1 
SRR1298742.4215	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.581	IGHJ6 46 1 
SRR1298742.38	IGHJ6 46 1 
SRR1298742.3498	IGHJ3 44 3 
SRR1298742.5051	IGHJ6 46 1 
SRR1298742.5419	IGHJ6 46 1 
SRR1298742.9150	IGHJ6 46 1 
SRR1298742.8481	IGHJ4 47 2 
SRR1298742.8153	IGHJ4 42 0 
SRR1298742.6806	IGHJ4 42 0 
SRR1298742.6520	IGHJ2 49 3 
SRR1298742.1784	IGHJ6 46 1 
SRR1298742.7715	IGHJ6 41 1 
SRR1298742.8671	IGHJ6 46 1 
SRR1298742.5255	IGHJ6 46 1 
SRR1298742.1659	IGHJ5 45 3 
SRR1298742.1234	IGHJ6 55 1 
SRR1298742.5486	IGHJ5 49 0 
SRR1298742.2415	IGHJ6 46 2 
SRR1298742.6456	IGHJ5 49 0 
SRR1298742.901	IGHJ6 46 1 
SRR1298742.4021	IGHJ6 41 1 
SRR1298742.8000	IGHJ6 58 4 
SRR1298742.1114	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.2007	IGHJ6 46 1 
SRR1298742.5389	IGHJ5 49 0 
SRR1298742.7518	IGHJ6 46 1 
SRR1298742.4840	IGHJ6 46 1 
SRR1298742.5859	IGHJ5 49 0 
SRR1298742.9340	IGHJ4 42 0 
SRR1298742.2303	IGHJ4 47 2 
SRR1298742.370	IGHJ6 58 3 
SRR1298742.3958	IGHJ5 49 0 
SRR1298742.3774	IGHJ6 41 1 
SRR1298742.2212	IGHJ6 55 1 
SRR1298742.4921	IGHJ4 44 1 
SRR1298742.5177	IGHJ5 49 0 
SRR1298742.7566	IGHJ6 41 1 
SRR1298742.4949	IGHJ6 46 1 
SRR1298742.5475	IGHJ6 46 1 
SRR1298742.8715	IGHJ6 55 1 
SRR1298742.6771	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.9148	IGHJ6 46 1 
SRR1298742.5705	IGHJ6 58 3 
SRR1298742.4299	IGHJ6 46 1 
SRR1298742.5452	IGHJ6 55 1 
SRR1298742.5282	IGHJ5 49 0 
SRR1298742.8499	IGHJ4 43 3 
SRR1298742.8665	IGHJ6 41 1 
SRR1298742.7916	IGHJ3 49 0 
SRR1298742.3899	IGHJ6 46 1 
SRR1298742.6359	IGHJ6 46 1 
SRR1298742.8017	IGHJ5 45 0 
SRR1298742.7480	IGHJ4 42 0 
SRR1298742.5464	IGHJ4 42 0 
SRR1298742.1127	IGHJ6 46 1 
SRR1298742.7976	IGHJ6 57 1 
SRR1298742.8539	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.5942	IGHJ4 46 2 
SRR1298742.1319	IGHJ6 55 1 
SRR1298742.2489	IGHJ6 46 1 
SRR1298742.617	IGHJ2 49 3 
SRR1298742.2859	IGHJ5 49 0 
SRR1298742.3584	IGHJ6 41 1 
SRR1298742.874	IGHJ5 32 1 IGHJ4 32 1 IGHJ4 32 1 IGHJ4 32 2 IGHJ1 32 2 
SRR1298742.896	IGHJ6 58 3 
SRR1298742.9264	IGHJ6 55 1 
SRR1298742.2337	IGHJ4 44 3 
SRR1298742.857	IGHJ5 49 0 
SRR1298742.5393	IGHJ6 58 3 
SRR1298742.4398	IGHJ4 42 1 
SRR1298742.6857	IGHJ6 46 1 
SRR1298742.9073	IGHJ6 46 1 
SRR1298742.2184	IGHJ6 47 1 
SRR1298742.9311	IGHJ6 46 1 
SRR1298742.6793	IGHJ6 46 1 
SRR1298742.8364	IGHJ5 49 0 
SRR1298742.101	IGHJ6 55 3 
SRR1298742.2262	IGHJ6 58 5 
SRR1298742.1026	IGHJ4 41 1 
SRR1298742.153	IGHJ5 49 0 
SRR1298742.7736	IGHJ6 55 0 
SRR1298742.6027	IGHJ6 58 3 
SRR1298742.1880	IGHJ6 57 1 
SRR1298742.6483	IGHJ6 55 1 
SRR1298742.4972	IGHJ6 46 2 
SRR1298742.2467	IGHJ6 41 1 
SRR1298742.6890	IGHJ3 44 3 
SRR1298742.1741	IGHJ5 49 0 
SRR1298742.5019	IGHJ4 40 1 
SRR1298742.4845	IGHJ4 42 0 
SRR1298742.8836	IGHJ4 40 1 IGHJ5 40 3 
SRR1298742.3013	IGHJ6 55 1 
SRR1298742.7909	IGHJ3 44 3 
SRR1298742.2993	IGHJ6 46 1 
SRR1298742.827	IGHJ6 46 2 
SRR1298742.8223	IGHJ5 49 0 
SRR1298742.6585	IGHJ6 55 3 
SRR1298742.7005	IGHJ5 49 0 
SRR1298742.1106	IGHJ6 58 3 
SRR1298742.7086	IGHJ6 58 3 
SRR1298742.1011	IGHJ6 58 3 
SRR1298742.8741	IGHJ3 47 1 
SRR1298742.2418	IGHJ6 46 1 
SRR1298742.6906	IGHJ6 49 3 
SRR1298742.3471	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.6086	IGHJ5 49 0 
SRR1298742.6811	IGHJ6 46 1 
SRR1298742.8910	IGHJ5 49 0 
SRR1298742.5015	IGHJ5 49 0 
SRR1298742.8943	IGHJ5 49 0 
SRR1298742.5676	IGHJ5 49 0 
SRR1298742.392	IGHJ6 46 1 
SRR1298742.8997	IGHJ5 49 0 
SRR1298742.6629	IGHJ5 49 1 
SRR1298742.8323	IGHJ6 46 1 
SRR1298742.9337	IGHJ6 41 1 
SRR1298742.4355	IGHJ3 44 3 
SRR1298742.3720	IGHJ5 49 0 
SRR1298742.8222	IGHJ5 49 0 
SRR1298742.4158	IGHJ6 41 1 
SRR1298742.4706	IGHJ5 46 0 
SRR1298742.3957	IGHJ5 32 3 IGHJ4 32 3 
SRR1298742.214	IGHJ4 41 1 
SRR1298742.4482	IGHJ6 58 3 
SRR1298742.6260	IGHJ6 58 3 
SRR1298742.1872	IGHJ6 46 1 
SRR1298742.135	IGHJ6 54 1 
SRR1298742.9279	IGHJ5 49 0 
SRR1298742.270	IGHJ6 46 1 
SRR1298742.2983	IGHJ6 46 1 
SRR1298742.5528	IGHJ6 46 1 
SRR1298742.3125	IGHJ6 58 3 
SRR1298742.2356	IGHJ6 46 1 
SRR1298742.1745	IGHJ6 46 1 
SRR1298742.7228	IGHJ4 44 1 
SRR1298742.507	IGHJ6 46 1 
SRR1298742.3913	IGHJ2 49 3 
SRR1298742.5137	IGHJ5 49 0 
SRR1298742.9460	IGHJ5 48 0 
SRR1298742.3538	IGHJ6 46 0 
SRR1298742.7954	IGHJ5 49 0 
SRR1298742.4315	IGHJ6 55 1 
SRR1298742.7034	IGHJ6 46 1 
SRR1298742.787	IGHJ3 44 3 
SRR1298742.6933	IGHJ6 46 1 
SRR1298742.2017	IGHJ5 40 2 
SRR1298742.7738	IGHJ4 40 2 
SRR1298742.8284	IGHJ3 44 3 
SRR1298742.2503	IGHJ5 49 0 
SRR1298742.3521	IGHJ6 55 0 
SRR1298742.4270	IGHJ5 49 0 
SRR1298742.5714	IGHJ6 46 1 
SRR1298742.137	IGHJ5 49 0 
SRR1298742.2563	IGHJ5 49 0 
SRR1298742.3869	IGHJ6 46 1 
SRR1298742.2053	IGHJ6 46 1 
SRR1298742.7112	IGHJ6 58 3 
SRR1298742.3583	IGHJ6 46 1 
SRR1298742.8314	IGHJ6 58 3 
SRR1298742.3011	IGHJ6 46 1 
SRR1298742.4276	IGHJ6 55 1 
SRR1298742.2996	IGHJ6 46 1 
SRR1298742.4781	IGHJ5 49 0 
SRR1298742.5161	IGHJ4 44 2 
SRR1298742.301	IGHJ6 46 1 
SRR1298742.1405	IGHJ6 41 1 
SRR1298742.5823	IGHJ6 46 1 
SRR1298742.7748	IGHJ5 49 0 
SRR1298742.1256	IGHJ6 55 1 
SRR1298742.5966	IGHJ6 46 1 
SRR1298742.6649	IGHJ6 46 1 
SRR1298742.4221	IGHJ6 46 1 
SRR1298742.7946	IGHJ6 46 1 
SRR1298742.6976	IGHJ4 42 0 
SRR1298742.3347	IGHJ5 49 0 
SRR1298742.800	IGHJ6 46 1 
SRR1298742.7349	IGHJ3 49 0 
SRR1298742.5856	IGHJ6 46 1 
SRR1298742.3242	IGHJ4 44 1 
SRR1298742.7599	IGHJ6 41 1 
SRR1298742.4120	IGHJ4 46 2 
SRR1298742.5977	IGHJ6 46 1 
SRR1298742.5169	IGHJ5 49 0 
SRR1298742.5261	IGHJ5 49 0 
SRR1298742.8543	IGHJ4 44 1 
SRR1298742.2786	IGHJ5 49 0 
SRR1298742.2101	IGHJ4 42 0 
SRR1298742.5623	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.1563	IGHJ6 58 3 
SRR1298742.932	IGHJ6 46 1 
SRR1298742.2099	IGHJ6 46 1 
SRR1298742.2045	IGHJ5 40 1 
SRR1298742.7500	IGHJ3 44 3 
SRR1298742.7664	IGHJ5 49 0 
SRR1298742.8936	IGHJ6 41 1 
SRR1298742.7304	IGHJ6 55 1 
SRR1298742.7903	IGHJ5 48 0 
SRR1298742.4322	IGHJ3 47 1 
SRR1298742.2371	IGHJ6 52 0 
SRR1298742.5221	IGHJ6 41 1 
SRR1298742.8658	IGHJ4 40 1 
SRR1298742.6053	IGHJ5 49 0 
SRR1298742.2359	IGHJ4 41 1 
SRR1298742.4925	IGHJ6 55 1 
SRR1298742.7462	IGHJ6 46 1 
SRR1298742.1132	IGHJ4 41 1 
SRR1298742.7688	IGHJ5 49 0 
SRR1298742.8581	IGHJ6 56 3 
SRR1298742.9322	IGHJ5 49 0 
SRR1298742.1297	IGHJ4 44 2 
SRR1298742.5353	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.8326	IGHJ6 55 0 
SRR1298742.4648	IGHJ6 46 1 
SRR1298742.8211	IGHJ3 44 3 
SRR1298742.1244	IGHJ6 46 2 
SRR1298742.17	IGHJ6 58 3 
SRR1298742.6591	IGHJ5 48 0 
SRR1298742.8111	IGHJ6 41 1 
SRR1298742.2524	IGHJ6 58 3 
SRR1298742.5149	IGHJ3 44 3 
SRR1298742.3229	IGHJ4 44 2 
SRR1298742.4858	IGHJ6 58 4 
SRR1298742.6663	IGHJ6 49 3 
SRR1298742.655	IGHJ5 45 3 
SRR1298742.2367	IGHJ6 55 1 
SRR1298742.6170	IGHJ6 46 1 
SRR1298742.1201	IGHJ4 44 2 
SRR1298742.3965	IGHJ6 46 1 
SRR1298742.4673	IGHJ5 49 0 
SRR1298742.7996	IGHJ6 58 3 
SRR1298742.1870	IGHJ6 55 1 
SRR1298742.673	IGHJ5 49 0 
SRR1298742.7869	IGHJ5 49 0 
SRR1298742.4716	IGHJ5 49 0 
SRR1298742.5286	IGHJ6 58 3 
SRR1298742.5840	IGHJ4 42 0 
SRR1298742.2474	IGHJ5 49 0 
SRR1298742.3658	IGHJ4 42 0 
SRR1298742.7651	IGHJ3 49 1 
SRR1298742.8751	IGHJ5 49 0 
SRR1298742.7670	IGHJ4 42 0 
SRR1298742.2492	IGHJ5 49 0 
SRR1298742.2925	IGHJ5 35 0 IGHJ4 35 0 IGHJ4 35 1 IGHJ1 35 1 
SRR1298742.8552	IGHJ6 49 3 
SRR1298742.2278	IGHJ6 46 1 
SRR1298742.6326	IGHJ5 49 0 
SRR1298742.178	IGHJ6 46 1 
SRR1298742.1643	IGHJ4 42 0 
SRR1298742.978	IGHJ6 58 3 
SRR1298742.1489	IGHJ6 41 2 
SRR1298742.5529	IGHJ6 41 1 
SRR1298742.5477	IGHJ6 58 3 
SRR1298742.472	IGHJ6 58 3 
SRR1298742.1473	IGHJ6 46 1 
SRR1298742.8579	IGHJ5 49 0 
SRR1298742.6785	IGHJ6 46 1 
SRR1298742.8702	IGHJ5 49 0 
SRR1298742.7093	IGHJ3 44 3 
SRR1298742.7291	IGHJ6 46 1 
SRR1298742.991	IGHJ6 41 1 
SRR1298742.5405	IGHJ5 49 0 
SRR1298742.6826	IGHJ6 46 1 
SRR1298742.7878	IGHJ6 41 1 
SRR1298742.8105	IGHJ6 41 1 
SRR1298742.5513	IGHJ5 49 0 
SRR1298742.6558	IGHJ5 49 0 
SRR1298742.8500	IGHJ6 55 1 
SRR1298742.1065	IGHJ6 46 1 
SRR1298742.8225	IGHJ4 44 3 
SRR1298742.5359	IGHJ6 46 1 
SRR1298742.3037	IGHJ6 46 1 
SRR1298742.833	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.3788	IGHJ3 47 2 
SRR1298742.4674	IGHJ4 41 0 
SRR1298742.7381	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.6188	IGHJ3 44 3 
SRR1298742.4251	IGHJ5 49 0 
SRR1298742.8981	IGHJ5 49 0 
SRR1298742.5939	IGHJ3 49 0 
SRR1298742.1352	IGHJ6 55 1 
SRR1298742.4138	IGHJ6 41 1 
SRR1298742.3699	IGHJ4 44 1 
SRR1298742.7910	IGHJ4 46 2 
SRR1298742.8522	IGHJ6 46 1 
SRR1298742.3360	IGHJ6 55 1 
SRR1298742.1752	IGHJ6 58 4 
SRR1298742.2471	IGHJ5 49 0 
SRR1298742.6443	IGHJ6 58 4 
SRR1298742.8676	IGHJ6 45 1 
SRR1298742.1527	IGHJ6 46 1 
SRR1298742.9344	IGHJ6 46 1 
SRR1298742.1387	IGHJ6 46 2 
SRR1298742.8523	IGHJ5 49 0 
SRR1298742.6114	IGHJ6 55 1 
SRR1298742.5152	IGHJ3 44 3 
SRR1298742.8459	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.4353	IGHJ6 46 1 
SRR1298742.6436	IGHJ6 46 1 
SRR1298742.3208	IGHJ6 55 1 
SRR1298742.7731	IGHJ3 44 3 
SRR1298742.5231	IGHJ6 55 1 
SRR1298742.2186	IGHJ6 46 1 
SRR1298742.3862	IGHJ5 49 0 
SRR1298742.3451	IGHJ6 42 1 
SRR1298742.2742	IGHJ5 32 2 IGHJ4 32 2 IGHJ4 32 2 IGHJ4 32 3 IGHJ1 32 3 
SRR1298742.3786	IGHJ6 46 1 
SRR1298742.1213	IGHJ6 41 1 
SRR1298742.2959	IGHJ4 42 0 
SRR1298742.4317	IGHJ6 46 1 
SRR1298742.6044	IGHJ5 49 0 
SRR1298742.6203	IGHJ4 42 0 
SRR1298742.2571	IGHJ4 42 0 
SRR1298742.7744	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.5001	IGHJ5 49 0 
SRR1298742.5420	IGHJ5 49 0 
SRR1298742.8731	IGHJ5 49 0 
SRR1298742.7355	IGHJ5 49 0 
SRR1298742.8556	IGHJ3 44 3 
SRR1298742.8586	IGHJ6 46 2 
SRR1298742.3727	IGHJ6 45 2 
SRR1298742.8568	IGHJ6 55 1 
SRR1298742.5917	IGHJ6 46 1 
SRR1298742.8869	IGHJ6 46 1 
SRR1298742.3435	IGHJ5 49 1 
SRR1298742.1602	IGHJ1 36 0 IGHJ4 38 1 
SRR1298742.2582	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.1883	IGHJ6 46 1 
SRR1298742.3403	IGHJ6 58 3 
SRR1298742.7881	IGHJ5 49 1 
SRR1298742.5864	IGHJ6 46 1 
SRR1298742.5097	IGHJ5 49 0 
SRR1298742.7083	IGHJ3 44 3 
SRR1298742.3337	IGHJ4 44 1 
SRR1298742.3592	IGHJ3 44 3 
SRR1298742.3916	IGHJ6 46 1 
SRR1298742.1440	IGHJ4 41 1 
SRR1298742.5563	IGHJ6 46 1 
SRR1298742.5434	IGHJ6 46 2 
SRR1298742.9368	IGHJ5 49 0 
SRR1298742.2233	IGHJ6 46 1 
SRR1298742.5243	IGHJ5 49 0 
SRR1298742.315	IGHJ6 46 1 
SRR1298742.8424	IGHJ6 41 1 
SRR1298742.625	IGHJ5 49 0 
SRR1298742.8619	IGHJ3 49 0 
SRR1298742.1186	IGHJ6 46 1 
SRR1298742.4767	IGHJ6 46 1 
SRR1298742.303	IGHJ4 41 1 
SRR1298742.7063	IGHJ5 49 1 
SRR1298742.3605	IGHJ6 46 1 
SRR1298742.1312	IGHJ6 47 1 
SRR1298742.9196	IGHJ5 49 0 
SRR1298742.6664	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.7764	IGHJ6 41 1 
SRR1298742.8443	IGHJ4 44 0 
SRR1298742.6026	IGHJ5 49 0 
SRR1298742.6034	IGHJ3 49 0 
SRR1298742.2541	IGHJ6 46 1 
SRR1298742.9313	IGHJ6 46 1 
SRR1298742.8729	IGHJ5 49 0 
SRR1298742.8478	IGHJ6 41 1 
SRR1298742.9189	IGHJ6 41 1 
SRR1298742.2059	IGHJ5 49 0 
SRR1298742.5120	IGHJ6 46 1 
SRR1298742.5218	IGHJ6 55 0 
SRR1298742.8657	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.5932	IGHJ5 49 0 
SRR1298742.3579	IGHJ6 46 1 
SRR1298742.9299	IGHJ6 46 1 
SRR1298742.864	IGHJ6 46 1 
SRR1298742.250	IGHJ5 49 0 
SRR1298742.1632	IGHJ4 42 0 
SRR1298742.2477	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.2264	IGHJ4 37 1 IGHJ1 36 1 
SRR1298742.900	IGHJ5 49 0 
SRR1298742.9015	IGHJ6 58 4 
SRR1298742.5975	IGHJ6 41 1 
SRR1298742.7362	IGHJ6 41 1 
SRR1298742.630	IGHJ6 58 3 
SRR1298742.6479	IGHJ5 49 0 
SRR1298742.6984	IGHJ6 46 1 
SRR1298742.3836	IGHJ4 41 1 
SRR1298742.1016	IGHJ2 49 3 
SRR1298742.8711	IGHJ6 46 1 
SRR1298742.3888	IGHJ6 46 1 
SRR1298742.129	IGHJ6 58 3 
SRR1298742.6959	IGHJ6 42 0 
SRR1298742.5640	IGHJ6 46 1 
SRR1298742.9429	IGHJ6 41 1 
SRR1298742.4595	IGHJ3 49 0 
SRR1298742.9080	IGHJ3 44 3 
SRR1298742.3915	IGHJ6 41 1 
SRR1298742.4238	IGHJ6 55 1 
SRR1298742.6434	IGHJ5 46 0 
SRR1298742.5839	IGHJ3 49 1 
SRR1298742.696	IGHJ6 46 1 
SRR1298742.5835	IGHJ6 41 1 
SRR1298742.1322	IGHJ6 46 1 
SRR1298742.1730	IGHJ6 46 1 
SRR1298742.1540	IGHJ6 55 1 
SRR1298742.8831	IGHJ5 49 0 
SRR1298742.1270	IGHJ5 49 0 
SRR1298742.1370	IGHJ4 44 0 
SRR1298742.8412	IGHJ6 58 3 
SRR1298742.1679	IGHJ6 55 1 
SRR1298742.5677	IGHJ3 44 3 
SRR1298742.7407	IGHJ3 44 3 
SRR1298742.7650	IGHJ4 44 1 
SRR1298742.9118	IGHJ3 49 0 
SRR1298742.8962	IGHJ6 46 1 
SRR1298742.437	IGHJ5 49 1 
SRR1298742.8359	IGHJ6 46 2 
SRR1298742.3162	IGHJ6 46 1 
SRR1298742.7445	IGHJ4 41 1 
SRR1298742.7403	IGHJ3 44 3 
SRR1298742.7387	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.1407	IGHJ5 49 0 
SRR1298742.7321	IGHJ3 47 1 
SRR1298742.4693	IGHJ5 47 0 
SRR1298742.6766	IGHJ4 44 3 
SRR1298742.8688	IGHJ5 49 0 
SRR1298742.8846	IGHJ6 46 1 
SRR1298742.4019	IGHJ3 44 3 
SRR1298742.4519	IGHJ3 44 3 
SRR1298742.1347	IGHJ6 46 1 
SRR1298742.1422	IGHJ6 46 1 
SRR1298742.6127	IGHJ5 45 0 
SRR1298742.6696	IGHJ4 44 3 
SRR1298742.1335	IGHJ6 46 1 
SRR1298742.5545	IGHJ6 46 1 
SRR1298742.6529	IGHJ4 41 0 
SRR1298742.7542	IGHJ6 46 1 
SRR1298742.5382	IGHJ5 49 0 
SRR1298742.9273	IGHJ5 49 0 
SRR1298742.4146	IGHJ3 49 0 
SRR1298742.8156	IGHJ3 44 3 
SRR1298742.78	IGHJ6 46 1 
SRR1298742.508	IGHJ6 46 1 
SRR1298742.5711	IGHJ6 46 1 
SRR1298742.8781	IGHJ5 49 0 
SRR1298742.8759	IGHJ4 44 3 
SRR1298742.3370	IGHJ6 41 1 
SRR1298742.2022	IGHJ6 41 1 
SRR1298742.6770	IGHJ4 42 0 
SRR1298742.3122	IGHJ5 49 0 
SRR1298742.2486	IGHJ5 49 1 
SRR1298742.717	IGHJ6 47 1 
SRR1298742.1758	IGHJ6 46 1 
SRR1298742.1458	IGHJ6 57 1 
SRR1298742.2971	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.6461	IGHJ4 44 2 
SRR1298742.6756	IGHJ2 49 2 
SRR1298742.587	IGHJ6 55 1 
SRR1298742.8227	IGHJ6 47 1 
SRR1298742.681	IGHJ6 45 1 
SRR1298742.2377	IGHJ6 46 1 
SRR1298742.2403	IGHJ6 58 3 
SRR1298742.3580	IGHJ6 41 1 
SRR1298742.1987	IGHJ6 55 1 
SRR1298742.121	IGHJ6 58 3 
SRR1298742.1188	IGHJ6 58 4 
SRR1298742.1155	IGHJ6 46 1 
SRR1298742.4536	IGHJ6 46 1 
SRR1298742.288	IGHJ6 46 1 
SRR1298742.4406	IGHJ6 41 1 
SRR1298742.7174	IGHJ5 45 0 
SRR1298742.1911	IGHJ6 46 1 
SRR1298742.5681	IGHJ6 46 1 
SRR1298742.3667	IGHJ6 41 1 
SRR1298742.4598	IGHJ4 42 0 
SRR1298742.1083	IGHJ6 46 1 
SRR1298742.9338	IGHJ6 41 2 
SRR1298742.3930	IGHJ3 44 3 
SRR1298742.7545	IGHJ6 41 1 
SRR1298742.7682	IGHJ6 41 1 
SRR1298742.7236	IGHJ6 41 2 
SRR1298742.1382	IGHJ6 47 1 
SRR1298742.6080	IGHJ6 41 1 
SRR1298742.3507	IGHJ6 46 1 
SRR1298742.4553	IGHJ5 45 3 
SRR1298742.5031	IGHJ5 48 0 
SRR1298742.9199	IGHJ5 45 0 
SRR1298742.8174	IGHJ6 46 1 
SRR1298742.2214	IGHJ5 49 0 
SRR1298742.1475	IGHJ6 58 3 
SRR1298742.6997	IGHJ5 49 0 
SRR1298742.4698	IGHJ6 56 3 
SRR1298742.3641	IGHJ6 41 1 
SRR1298742.2965	IGHJ6 59 4 
SRR1298742.1565	IGHJ4 42 0 
SRR1298742.9304	IGHJ6 46 1 
SRR1298742.3770	IGHJ6 46 1 
SRR1298742.6684	IGHJ6 46 1 
SRR1298742.3687	IGHJ6 58 3 
SRR1298742.6677	IGHJ5 49 0 
SRR1298742.5054	IGHJ4 41 1 
SRR1298742.1711	IGHJ3 44 3 
SRR1298742.1703	IGHJ5 49 0 
SRR1298742.7636	IGHJ5 49 0 
SRR1298742.8172	IGHJ6 40 1 
SRR1298742.1618	IGHJ6 46 1 
SRR1298742.1281	IGHJ6 46 1 
SRR1298742.9303	IGHJ6 41 1 
SRR1298742.5635	IGHJ4 44 1 
SRR1298742.5291	IGHJ5 45 3 
SRR1298742.174	IGHJ6 46 1 
SRR1298742.7841	IGHJ6 41 1 
SRR1298742.1571	IGHJ3 44 3 
SRR1298742.9318	IGHJ5 49 0 
SRR1298742.3817	IGHJ2 49 3 
SRR1298742.5156	IGHJ5 49 0 
SRR1298742.4712	IGHJ5 49 0 
SRR1298742.8290	IGHJ5 49 0 
SRR1298742.7661	IGHJ6 46 1 
SRR1298742.8265	IGHJ6 55 1 
SRR1298742.5831	IGHJ3 44 3 
SRR1298742.1539	IGHJ6 46 1 
SRR1298742.8678	IGHJ4 44 1 
SRR1298742.4685	IGHJ6 41 1 
SRR1298742.4095	IGHJ1 36 0 IGHJ4 38 1 
SRR1298742.7483	IGHJ5 49 0 
SRR1298742.5530	IGHJ6 41 1 
SRR1298742.4799	IGHJ6 42 0 
SRR1298742.3014	IGHJ6 45 1 
SRR1298742.6101	IGHJ6 58 3 
SRR1298742.7267	IGHJ5 49 0 
SRR1298742.6190	IGHJ6 41 1 
SRR1298742.127	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.6108	IGHJ6 55 1 
SRR1298742.9441	IGHJ5 49 0 
SRR1298742.7663	IGHJ5 49 0 
SRR1298742.1275	IGHJ5 49 0 
SRR1298742.6415	IGHJ4 44 3 
SRR1298742.2736	IGHJ5 49 0 
SRR1298742.1110	IGHJ6 46 1 
SRR1298742.9229	IGHJ5 49 0 
SRR1298742.3249	IGHJ6 58 3 
SRR1298742.881	IGHJ5 49 0 
SRR1298742.411	IGHJ6 46 1 
SRR1298742.1970	IGHJ6 46 1 
SRR1298742.1221	IGHJ6 55 1 
SRR1298742.7498	IGHJ4 42 0 
SRR1298742.4936	IGHJ6 46 1 
SRR1298742.3184	IGHJ5 49 0 
SRR1298742.1999	IGHJ5 49 0 
SRR1298742.1524	IGHJ6 46 1 
SRR1298742.106	IGHJ6 46 1 
SRR1298742.5912	IGHJ6 41 1 
SRR1298742.5081	IGHJ5 44 0 
SRR1298742.9274	IGHJ6 46 1 
SRR1298742.4701	IGHJ6 55 1 
SRR1298742.1060	IGHJ6 58 3 
SRR1298742.8631	IGHJ6 46 1 
SRR1298742.3649	IGHJ6 46 1 
SRR1298742.7211	IGHJ5 49 0 
SRR1298742.9003	IGHJ6 46 1 
SRR1298742.5634	IGHJ6 46 1 
SRR1298742.4039	IGHJ6 47 1 
SRR1298742.7575	IGHJ3 47 1 
SRR1298742.3791	IGHJ6 55 1 
SRR1298742.6131	IGHJ6 41 1 
SRR1298742.4058	IGHJ4 44 1 
SRR1298742.5276	IGHJ4 42 0 
SRR1298742.2475	IGHJ6 46 1 
SRR1298742.1360	IGHJ6 55 1 
SRR1298742.1202	IGHJ3 44 4 
SRR1298742.2673	IGHJ6 46 1 
SRR1298742.3823	IGHJ5 49 0 
SRR1298742.1314	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.7586	IGHJ5 49 0 
SRR1298742.667	IGHJ6 47 1 
SRR1298742.1812	IGHJ3 44 3 
SRR1298742.2116	IGHJ4 42 0 
SRR1298742.8467	IGHJ3 44 4 
