SRR1298742.2575	IGHV1-2 295 14 
SRR1298742.6538	IGHV1-8 295 7 
SRR1298742.2436	IGHV6-1 304 8 
SRR1298742.1306	IGHV1-69 290 37 
SRR1298742.6347	IGHV4-34 291 15 
SRR1298742.4417	IGHV4-30-4/31 298 22 
SRR1298742.3517	IGHV6-1 304 7 
SRR1298742.2867	IGHV6-1 306 1 
SRR1298742.2360	IGHV1-2 292 16 
SRR1298742.3781	IGHV1-8 295 7 
SRR1298742.8857	IGHV6-1 302 11 
SRR1298742.8979	IGHV3-74 294 12 
SRR1298742.2122	IGHV1-46 296 11 
SRR1298742.3832	IGHV1-46 296 11 
SRR1298742.3912	IGHV4-34 293 15 
SRR1298742.6334	IGHV1-2 292 16 
SRR1298742.2361	IGHV1-8 295 9 
SRR1298742.8660	IGHV6-1 304 7 
SRR1298742.1797	IGHV1-46 297 13 
SRR1298742.6488	IGHV6-1 306 8 
SRR1298742.294	IGHV1-2 292 17 
SRR1298742.4557	IGHV1-8 295 8 
SRR1298742.8886	IGHV4-34 290 28 
SRR1298742.2232	IGHV6-1 302 8 
SRR1298742.4296	IGHV2-5 301 25 
SRR1298742.6985	IGHV3-49 303 0 
SRR1298742.9014	IGHV3-74 290 21 
SRR1298742.1195	IGHV1-8 295 8 
SRR1298742.5154	IGHV1-18 291 6 
SRR1298742.1551	IGHV1-18 291 7 
SRR1298742.2766	IGHV1-46 296 12 
SRR1298742.518	IGHV3-74 291 13 
SRR1298742.3439	IGHV1-2 292 17 
SRR1298742.4616	IGHV1-8 295 7 
SRR1298742.1395	IGHV1-2 292 16 
SRR1298742.8549	IGHV3-74 290 22 
SRR1298742.4164	IGHV1-2 292 17 
SRR1298742.7849	IGHV1-2 292 17 
SRR1298742.3150	IGHV1-2 292 16 
SRR1298742.4635	IGHV4-34 289 16 
SRR1298742.3940	IGHV6-1 304 7 
SRR1298742.1328	IGHV1-2 292 17 
SRR1298742.8232	IGHV4-39 299 20 
SRR1298742.4002	IGHV1-2 251 15 
SRR1298742.7929	IGHV1-46 296 15 
SRR1298742.2239	IGHV1-8 295 8 
SRR1298742.5106	IGHV3-49 300 0 
SRR1298742.2602	IGHV3-74 290 22 
SRR1298742.8502	IGHV1-8 296 7 
SRR1298742.610	IGHV4-34 288 16 
SRR1298742.2425	IGHV1-2 289 16 
SRR1298742.3102	IGHV1-2 292 17 
SRR1298742.280	IGHV1-2 292 16 
SRR1298742.1260	IGHV4-34 290 28 
SRR1298742.4843	IGHV1-2 292 20 
SRR1298742.6610	IGHV1-2 292 17 
SRR1298742.2834	IGHV1-2 292 17 
SRR1298742.1012	IGHV1-2 292 16 
SRR1298742.5804	IGHV1-46 296 11 
SRR1298742.8002	IGHV6-1 304 7 
SRR1298742.4376	IGHV4-34 288 15 
SRR1298742.2626	IGHV1-8 295 7 
SRR1298742.5396	IGHV1-8 295 7 
SRR1298742.6216	IGHV4-59/61 298 13 
SRR1298742.6749	IGHV6-1 305 8 
SRR1298742.5903	IGHV4-34 293 16 
SRR1298742.5748	IGHV1-2 292 19 
SRR1298742.2949	IGHV1-2 292 17 
SRR1298742.2036	IGHV4-59/61 292 11 
SRR1298742.2850	IGHV1-2 293 17 
SRR1298742.2318	IGHV1-8 295 9 
SRR1298742.3729	IGHV1-8 295 7 
SRR1298742.8824	IGHV3-49 301 0 
SRR1298742.6	IGHV1-8 296 8 
SRR1298742.2368	IGHV1-8 295 7 
SRR1298742.6346	IGHV3-74 290 22 
SRR1298742.7912	IGHV1-2 292 18 
SRR1298742.3500	IGHV4-59/61 291 11 
SRR1298742.241	IGHV4-34 289 16 
SRR1298742.4213	IGHV1-8 295 9 
SRR1298742.589	IGHV1-46 296 35 
SRR1298742.4772	IGHV1-2 292 16 
SRR1298742.5750	IGHV1-8 295 7 
SRR1298742.6286	IGHV1-46 296 11 
SRR1298742.5996	IGHV3-49 300 1 
SRR1298742.3110	IGHV1-46 296 11 
SRR1298742.8784	IGHV1-46 296 11 
SRR1298742.3092	IGHV4-34 288 15 
SRR1298742.2828	IGHV1-46 252 11 
SRR1298742.4434	IGHV3-49 300 0 
SRR1298742.604	IGHV6-1 304 8 
SRR1298742.2955	IGHV1-8 295 8 
SRR1298742.4436	IGHV1-2 292 16 
SRR1298742.9123	IGHV1-8 295 7 
SRR1298742.7861	IGHV3-49 300 0 
SRR1298742.9251	IGHV3-49 300 0 
SRR1298742.7343	IGHV6-1 305 7 
SRR1298742.4995	IGHV3-9 298 28 
SRR1298742.8728	IGHV1-8 294 9 
SRR1298742.122	IGHV1-2 292 18 
SRR1298742.8087	IGHV1-18 291 7 
SRR1298742.4351	IGHV1-2 293 17 
SRR1298742.7188	IGHV1-8 295 8 
SRR1298742.1259	IGHV1-2 292 17 
SRR1298742.8450	IGHV3-49 301 0 
SRR1298742.212	IGHV3-49 300 0 
SRR1298742.4456	IGHV1-2 292 17 
SRR1298742.371	IGHV1-2 292 16 
SRR1298742.3614	IGHV1-2 292 16 
SRR1298742.3524	IGHV1-2 293 16 
SRR1298742.9386	IGHV1-2 292 16 
SRR1298742.7401	IGHV2-5 295 10 
SRR1298742.6490	IGHV3-74 290 21 
SRR1298742.8365	IGHV1-2 292 16 
SRR1298742.161	IGHV4-30-4/31 298 23 
SRR1298742.6447	IGHV6-1 304 8 
SRR1298742.6824	IGHV1-2 292 16 
SRR1298742.3594	IGHV1-8 295 7 
SRR1298742.9085	IGHV3-49 300 0 
SRR1298742.4545	IGHV3-49 298 0 
SRR1298742.7918	IGHV1-46 296 12 
SRR1298742.4093	IGHV4-34 288 15 
SRR1298742.3565	IGHV1-2 292 17 
SRR1298742.2585	IGHV1-46 296 11 
SRR1298742.2205	IGHV1-46 296 11 
SRR1298742.7786	IGHV1-18 295 4 
SRR1298742.580	IGHV1-2 292 16 
SRR1298742.4869	IGHV4-34 286 15 
SRR1298742.385	IGHV1-2 292 17 
SRR1298742.8025	IGHV1-2 292 18 
SRR1298742.5167	IGHV1-46 296 12 
SRR1298742.7430	IGHV3-49 301 0 
SRR1298742.5648	IGHV3-49 300 0 
SRR1298742.8391	IGHV4-34 288 15 
SRR1298742.4336	IGHV3-74 290 13 
SRR1298742.3345	IGHV1-8 295 7 
SRR1298742.4937	IGHV1-8 295 7 
SRR1298742.3344	IGHV1-2 292 16 
SRR1298742.3060	IGHV3-49 300 0 
SRR1298742.1001	IGHV4-34 288 15 
SRR1298742.3810	IGHV3-74 290 21 
SRR1298742.7559	IGHV6-1 304 7 
SRR1298742.8978	IGHV1-2 294 17 
SRR1298742.1843	IGHV3-49 300 3 
SRR1298742.3668	IGHV2-5 302 26 
SRR1298742.9250	IGHV1-8 295 7 
SRR1298742.4356	IGHV4-34 288 15 
SRR1298742.3860	IGHV4-34 288 15 
SRR1298742.1094	IGHV1-8 295 7 
SRR1298742.5455	IGHV1-2 292 15 
SRR1298742.4969	IGHV6-1 302 8 
SRR1298742.6917	IGHV2-5 295 9 
SRR1298742.7127	IGHV3-74 290 21 
SRR1298742.2504	IGHV1-8 295 7 
SRR1298742.6432	IGHV1-8 295 7 
SRR1298742.2908	IGHV1-46 296 11 
SRR1298742.4514	IGHV1-2 292 17 
SRR1298742.7719	IGHV3-74 292 21 
SRR1298742.6006	IGHV6-1 300 7 
SRR1298742.8505	IGHV3-74 292 22 
SRR1298742.5301	IGHV4-34 289 15 
SRR1298742.8003	IGHV6-1 304 8 
SRR1298742.1431	IGHV3-74 290 22 
SRR1298742.2183	IGHV1-2 292 16 
SRR1298742.4128	IGHV1-2 293 17 
SRR1298742.1044	IGHV1-2 292 17 
SRR1298742.8491	IGHV1-18 291 9 
SRR1298742.9259	IGHV1-2 292 17 
SRR1298742.7487	IGHV1-2 292 16 
SRR1298742.3967	IGHV4-39 299 19 
SRR1298742.3373	IGHV6-1 304 9 
SRR1298742.1204	IGHV6-1 305 7 
SRR1298742.3391	IGHV1-2 296 15 
SRR1298742.5836	IGHV3-74 294 12 
SRR1298742.3188	IGHV1-2 292 16 
SRR1298742.3371	IGHV1-2 292 16 
SRR1298742.4271	IGHV1-2 292 17 
SRR1298742.7601	IGHV3-49 300 2 
SRR1298742.2069	IGHV4-34 288 15 
SRR1298742.8033	IGHV1-2 292 16 
SRR1298742.159	IGHV1-8 296 7 
SRR1298742.413	IGHV1-2 292 18 
SRR1298742.960	IGHV2-5 301 28 
SRR1298742.5424	IGHV1-2 292 16 
SRR1298742.9004	IGHV4-34 288 15 
SRR1298742.6783	IGHV4-34 288 15 
SRR1298742.8081	IGHV1-2 292 16 
SRR1298742.5853	IGHV1-8 298 8 
SRR1298742.2567	IGHV1-2 292 17 
SRR1298742.8272	IGHV3-49 302 0 
SRR1298742.8874	IGHV3-49 301 0 
SRR1298742.8201	IGHV3-74 290 21 
SRR1298742.9062	IGHV6-1 304 7 
SRR1298742.4803	IGHV3-74 290 21 
SRR1298742.4410	IGHV4-34 288 15 
SRR1298742.6306	IGHV3-74 290 21 
SRR1298742.2427	IGHV4-34 293 14 
SRR1298742.6861	IGHV4-59/61 291 11 
SRR1298742.5900	IGHV4-34 280 14 
SRR1298742.4194	IGHV4-34 288 15 
SRR1298742.2770	IGHV1-46 296 14 
SRR1298742.4340	IGHV2-5 302 26 
SRR1298742.7177	IGHV1-2 292 17 
SRR1298742.513	IGHV1-2 292 18 
SRR1298742.207	IGHV1-2 292 16 
SRR1298742.1919	IGHV1-2 292 16 
SRR1298742.2746	IGHV1-2 292 16 
SRR1298742.1994	IGHV1-46 296 12 
SRR1298742.5862	IGHV1-2 292 16 
SRR1298742.8308	IGHV3-74 292 21 
SRR1298742.3886	IGHV2-5 295 11 
SRR1298742.1936	IGHV1-2 292 16 
SRR1298742.1622	IGHV1-2 292 20 
SRR1298742.3931	IGHV1-8 295 7 
SRR1298742.2688	IGHV6-1 304 8 
SRR1298742.4764	IGHV3-49 300 1 
SRR1298742.6287	IGHV1-2 292 16 
SRR1298742.2384	IGHV1-2 292 16 
SRR1298742.2717	IGHV4-34 293 14 
SRR1298742.5719	IGHV6-1 304 7 
SRR1298742.7700	IGHV6-1 304 7 
SRR1298742.4369	IGHV1-8 295 8 
SRR1298742.5135	IGHV2-5 301 26 
SRR1298742.4034	IGHV1-2 293 16 
SRR1298742.5283	IGHV1-2 292 17 
SRR1298742.1216	IGHV1-46 296 12 
SRR1298742.6345	IGHV6-1 304 8 
SRR1298742.4754	IGHV1-8 295 8 
SRR1298742.3753	IGHV6-1 304 7 
SRR1298742.3322	IGHV1-8 296 7 
SRR1298742.9167	IGHV6-1 304 7 
SRR1298742.4755	IGHV3-49 300 0 
SRR1298742.4570	IGHV6-1 304 8 
SRR1298742.3293	IGHV3-23 296 30 
SRR1298742.4217	IGHV1-18 291 7 
SRR1298742.2600	IGHV6-1 304 0 
SRR1298742.1697	IGHV1-2 292 19 
SRR1298742.9116	IGHV1-46 294 12 
SRR1298742.8410	IGHV1-46 296 11 
SRR1298742.1771	IGHV3-74 290 22 
SRR1298742.903	IGHV4-39 299 19 
SRR1298742.6300	IGHV3-49 300 0 
SRR1298742.5046	IGHV1-2 292 16 
SRR1298742.2937	IGHV4-34 288 16 
SRR1298742.7490	IGHV1-46 296 11 
SRR1298742.2248	IGHV3-74 291 24 
SRR1298742.532	IGHV1-2 292 17 
SRR1298742.5625	IGHV4-34 288 16 
SRR1298742.2544	IGHV4-34 288 16 
SRR1298742.7190	IGHV3-49 300 0 
SRR1298742.321	IGHV4-34 288 16 
SRR1298742.7032	IGHV1-2 292 16 
SRR1298742.9400	IGHV3-74 281 20 
SRR1298742.3282	IGHV4-39 299 18 
SRR1298742.2182	IGHV4-34 288 15 
SRR1298742.2211	IGHV1-2 292 16 
SRR1298742.4964	IGHV3-74 290 21 
SRR1298742.6024	IGHV6-1 305 1 
SRR1298742.8416	IGHV3-49 285 1 
SRR1298742.9029	IGHV6-1 304 0 
SRR1298742.1262	IGHV1-2 292 16 
SRR1298742.8319	IGHV3-49 300 1 
SRR1298742.6638	IGHV4-59/61 291 11 
SRR1298742.2843	IGHV6-1 304 1 
SRR1298742.5847	IGHV4-34 288 15 
SRR1298742.6038	IGHV1-46 296 15 
SRR1298742.3751	IGHV3-74 290 21 
SRR1298742.8405	IGHV6-1 304 7 
SRR1298742.868	IGHV1-46 296 37 
SRR1298742.6327	IGHV1-2 292 16 
SRR1298742.1351	IGHV1-46 296 10 
SRR1298742.4747	IGHV3-74 290 21 
SRR1298742.3176	IGHV1-2 292 16 
SRR1298742.7541	IGHV4-34 288 16 
SRR1298742.8913	IGHV1-2 292 16 
SRR1298742.9217	IGHV1-2 292 16 
SRR1298742.7388	IGHV1-2 292 17 
SRR1298742.181	IGHV1-2 292 16 
SRR1298742.744	IGHV6-1 304 8 
SRR1298742.2653	IGHV4-34 288 15 
SRR1298742.2698	IGHV6-1 305 9 
SRR1298742.8141	IGHV1-2 292 17 
SRR1298742.9030	IGHV1-18 291 6 
SRR1298742.1404	IGHV3-74 252 15 
SRR1298742.9023	IGHV6-1 302 4 
SRR1298742.3099	IGHV1-2 292 18 
SRR1298742.7958	IGHV1-8 295 7 
SRR1298742.5404	IGHV4-34 288 15 
SRR1298742.2493	IGHV1-2 292 16 
SRR1298742.3973	IGHV4-34 288 15 
SRR1298742.4497	IGHV1-2 293 16 
SRR1298742.4789	IGHV4-34 288 15 
SRR1298742.5549	IGHV1-8 295 8 
SRR1298742.4397	IGHV3-49 300 1 
SRR1298742.8028	IGHV1-8 295 8 
SRR1298742.2502	IGHV1-2 292 16 
SRR1298742.4561	IGHV6-1 306 7 
SRR1298742.3210	IGHV3-30/33rn 291 19 
SRR1298742.1205	IGHV3-49 300 1 
SRR1298742.2413	IGHV1-2 292 16 
SRR1298742.2076	IGHV1-2 292 16 
SRR1298742.2363	IGHV6-1 304 8 
SRR1298742.7876	IGHV4-34 287 34 
SRR1298742.4880	IGHV1-8 295 7 
SRR1298742.1	IGHV1-2 292 17 
SRR1298742.7047	IGHV6-1 304 7 
SRR1298742.348	IGHV4-34 288 19 
SRR1298742.8942	IGHV6-1 305 8 
SRR1298742.6256	IGHV1-2 292 16 
SRR1298742.4763	IGHV1-2 292 16 
SRR1298742.3893	IGHV6-1 302 10 
SRR1298742.7625	IGHV1-46 296 12 
SRR1298742.9239	IGHV3-49 300 1 
SRR1298742.209	IGHV1-8 295 7 
SRR1298742.9408	IGHV3-74 296 10 
SRR1298742.6111	IGHV6-1 304 7 
SRR1298742.4874	IGHV1-2 292 17 
SRR1298742.2289	IGHV6-1 304 8 
SRR1298742.8293	IGHV1-8 295 7 
SRR1298742.2106	IGHV1-2 292 17 
SRR1298742.853	IGHV1-2 292 18 
SRR1298742.6800	IGHV1-2 293 20 
SRR1298742.6612	IGHV4-34 288 16 
SRR1298742.3383	IGHV1-18 291 6 
SRR1298742.2057	IGHV6-1 304 7 
SRR1298742.2411	IGHV3-49 300 0 
SRR1298742.3722	IGHV6-1 304 8 
SRR1298742.2557	IGHV6-1 304 7 
SRR1298742.4325	IGHV1-8 295 7 
SRR1298742.8041	IGHV1-2 292 16 
SRR1298742.5947	IGHV1-8 295 7 
SRR1298742.5809	IGHV1-8 295 7 
SRR1298742.1567	IGHV1-8 295 7 
SRR1298742.7546	IGHV1-46 295 18 
SRR1298742.5873	IGHV1-8 295 8 
SRR1298742.9213	IGHV3-49 301 2 
SRR1298742.4704	IGHV1-69 290 37 
SRR1298742.5852	IGHV4-34 288 16 
SRR1298742.8335	IGHV1-2 292 18 
SRR1298742.2641	IGHV6-1 304 7 
SRR1298742.1492	IGHV4-30-4/31 298 22 
SRR1298742.1224	IGHV1-2 292 16 
SRR1298742.3	IGHV4-34 293 14 
SRR1298742.5367	IGHV1-46 296 11 
SRR1298742.6187	IGHV1-2 293 17 
SRR1298742.1253	IGHV4-39 299 20 
SRR1298742.466	IGHV1-2 292 16 
SRR1298742.4455	IGHV1-2 292 16 
SRR1298742.5080	IGHV1-46 297 13 
SRR1298742.976	IGHV3-74 290 21 
SRR1298742.5214	IGHV1-46 296 11 
SRR1298742.4375	IGHV1-2 292 16 
SRR1298742.3380	IGHV1-8 296 7 
SRR1298742.7018	IGHV6-1 304 1 
SRR1298742.2899	IGHV1-46 296 13 
SRR1298742.2608	IGHV3-74 290 13 
SRR1298742.5511	IGHV3-74 290 21 
SRR1298742.5588	IGHV1-46 296 12 
SRR1298742.8368	IGHV3-74 295 12 
SRR1298742.8238	IGHV4-34 288 15 
SRR1298742.845	IGHV1-8 296 7 
SRR1298742.4467	IGHV6-1 304 10 
SRR1298742.8468	IGHV1-2 292 17 
SRR1298742.147	IGHV1-2 295 17 
SRR1298742.8849	IGHV1-2 293 17 
SRR1298742.2987	IGHV4-39 299 18 
SRR1298742.8189	IGHV2-5 301 25 
SRR1298742.6628	IGHV6-1 304 1 
SRR1298742.8445	IGHV3-49 303 2 
SRR1298742.4214	IGHV1-8 295 8 
SRR1298742.911	IGHV1-8 297 8 
SRR1298742.9185	IGHV3-49 301 0 
SRR1298742.5525	IGHV1-2 292 17 
SRR1298742.1325	IGHV1-2 292 18 
SRR1298742.5453	IGHV4-34 290 28 
SRR1298742.7215	IGHV1-2 292 17 
SRR1298742.3165	IGHV3-74 290 13 
SRR1298742.9205	IGHV3-49 300 1 
SRR1298742.6889	IGHV6-1 304 2 
SRR1298742.6921	IGHV2-70 296 13 
SRR1298742.6201	IGHV1-8 295 7 
SRR1298742.909	IGHV6-1 304 0 
SRR1298742.8730	IGHV3-49 303 2 
SRR1298742.8288	IGHV4-34 293 19 
SRR1298742.6258	IGHV4-34 288 15 
SRR1298742.3780	IGHV1-8 295 7 
SRR1298742.5072	IGHV6-1 304 7 
SRR1298742.935	IGHV1-2 292 17 
SRR1298742.9448	IGHV1-8 295 7 
SRR1298742.1007	IGHV1-2 292 16 
SRR1298742.5275	IGHV1-46 296 13 
SRR1298742.7002	IGHV6-1 304 7 
SRR1298742.8994	IGHV1-2 295 0 
SRR1298742.7180	IGHV1-2 292 16 
SRR1298742.5358	IGHV1-8 295 8 
SRR1298742.4658	IGHV1-2 292 16 
SRR1298742.7711	IGHV4-34 288 15 
SRR1298742.3198	IGHV1-18 296 22 
SRR1298742.5317	IGHV6-1 304 7 
SRR1298742.8989	IGHV3-49 301 0 
SRR1298742.4424	IGHV4-34 288 15 
SRR1298742.7305	IGHV1-46 296 12 
SRR1298742.1190	IGHV6-1 306 0 
SRR1298742.5230	IGHV6-1 301 7 
SRR1298742.1617	IGHV1-2 292 18 
SRR1298742.1089	IGHV6-1 304 7 
SRR1298742.6926	IGHV6-1 308 1 
SRR1298742.2681	IGHV3-49 300 1 
SRR1298742.6972	IGHV1-18 291 8 
SRR1298742.9272	IGHV1-2 292 17 
SRR1298742.5909	IGHV1-2 292 16 
SRR1298742.2555	IGHV1-2 292 16 
SRR1298742.7733	IGHV6-1 305 8 
SRR1298742.1392	IGHV4-34 289 15 
SRR1298742.1148	IGHV1-2 292 15 
SRR1298742.7887	IGHV1-8 295 7 
SRR1298742.7543	IGHV6-1 304 7 
SRR1298742.7632	IGHV4-39 299 21 
SRR1298742.1076	IGHV1-2 293 16 
SRR1298742.4450	IGHV6-1 304 7 
SRR1298742.8844	IGHV3-49 300 3 
SRR1298742.2729	IGHV1-8 295 7 
SRR1298742.1704	IGHV4-39 299 19 
SRR1298742.6980	IGHV6-1 302 7 
SRR1298742.326	IGHV6-1 304 0 
SRR1298742.1048	IGHV4-39 299 19 
SRR1298742.5147	IGHV1-2 292 17 
SRR1298742.3692	IGHV1-8 295 9 
SRR1298742.4679	IGHV6-1 304 7 
SRR1298742.6542	IGHV1-2 290 16 
SRR1298742.9256	IGHV3-49 302 0 
SRR1298742.5096	IGHV1-46 296 11 
SRR1298742.1844	IGHV3-74 268 11 
SRR1298742.9306	IGHV1-8 295 7 
SRR1298742.2778	IGHV4-34 288 15 
SRR1298742.2155	IGHV1-2 292 16 
SRR1298742.2514	IGHV6-1 245 8 
SRR1298742.7227	IGHV1-8 295 7 
SRR1298742.7722	IGHV6-1 304 7 
SRR1298742.8806	IGHV6-1 304 8 
SRR1298742.3151	IGHV3-49 300 0 
SRR1298742.2716	IGHV3-74 290 21 
SRR1298742.410	IGHV4-34 292 27 
SRR1298742.1814	IGHV1-2 292 15 
SRR1298742.59	IGHV1-46 296 11 
SRR1298742.9027	IGHV6-1 305 7 
SRR1298742.1945	IGHV6-1 304 8 
SRR1298742.4130	IGHV3-49 300 0 
SRR1298742.7891	IGHV3-7 267 18 
SRR1298742.3487	IGHV1-2 291 16 
SRR1298742.6537	IGHV1-2 293 18 
SRR1298742.8341	IGHV1-2 292 16 
SRR1298742.3705	IGHV4-34 288 16 
SRR1298742.8298	IGHV1-2 292 15 
SRR1298742.2747	IGHV1-8 295 7 
SRR1298742.2792	IGHV4-34 290 28 
SRR1298742.7875	IGHV6-1 304 7 
SRR1298742.2815	IGHV1-2 292 16 
SRR1298742.5357	IGHV4-34 290 28 
SRR1298742.824	IGHV4-34 288 16 
SRR1298742.1759	IGHV1-8 295 8 
SRR1298742.1289	IGHV1-2 292 16 
SRR1298742.5126	IGHV6-1 304 8 
SRR1298742.5702	IGHV1-46 296 12 
SRR1298742.8675	IGHV3-74 291 21 
SRR1298742.8183	IGHV3-74 290 21 
SRR1298742.3015	IGHV3-74 290 21 
SRR1298742.6720	IGHV1-2 292 16 
SRR1298742.2114	IGHV1-46 258 11 
SRR1298742.771	IGHV1-2 292 17 
SRR1298742.2093	IGHV1-2 292 16 
SRR1298742.2194	IGHV6-1 304 7 
SRR1298742.2719	IGHV1-46 296 11 
SRR1298742.6790	IGHV1-2 292 16 
SRR1298742.3490	IGHV1-2 292 16 
SRR1298742.3221	IGHV1-2 292 18 
SRR1298742.3338	IGHV6-1 304 7 
SRR1298742.7466	IGHV6-1 305 7 
SRR1298742.3332	IGHV4-59/61 291 12 
SRR1298742.7780	IGHV3-49 302 0 
SRR1298742.6927	IGHV1-2 293 17 
SRR1298742.6465	IGHV3-74 290 21 
SRR1298742.4535	IGHV6-1 304 2 
SRR1298742.4040	IGHV3-49 300 0 
SRR1298742.6330	IGHV1-2 292 15 
SRR1298742.3172	IGHV1-2 292 16 
SRR1298742.1510	IGHV1-46 294 11 
SRR1298742.6396	IGHV6-1 304 8 
SRR1298742.3004	IGHV6-1 304 0 
SRR1298742.6634	IGHV3-49 301 1 
SRR1298742.6710	IGHV1-2 292 18 
SRR1298742.5992	IGHV1-2 292 16 
SRR1298742.8682	IGHV3-49 302 0 
SRR1298742.6429	IGHV1-8 295 7 
SRR1298742.579	IGHV1-2 292 16 
SRR1298742.1321	IGHV1-2 292 16 
SRR1298742.3979	IGHV1-2 292 15 
SRR1298742.3446	IGHV2-5 295 10 
SRR1298742.6381	IGHV6-1 304 0 
SRR1298742.4794	IGHV6-1 304 0 
SRR1298742.2077	IGHV1-2 292 16 
SRR1298742.170	IGHV4-34 288 16 
SRR1298742.2618	IGHV1-2 292 18 
SRR1298742.3547	IGHV6-1 305 0 
SRR1298742.7812	IGHV3-49 300 0 
SRR1298742.5851	IGHV1-2 292 17 
SRR1298742.4813	IGHV3-7 296 12 
SRR1298742.4773	IGHV4-34 288 16 
SRR1298742.3010	IGHV4-39 299 18 
SRR1298742.3437	IGHV6-1 305 11 
SRR1298742.2110	IGHV4-34 289 15 
SRR1298742.1364	IGHV1-46 296 11 
SRR1298742.9416	IGHV1-2 292 16 
SRR1298742.7461	IGHV3-49 300 0 
SRR1298742.6956	IGHV4-34 288 15 
SRR1298742.8972	IGHV3-49 300 0 
SRR1298742.476	IGHV4-39 299 19 
SRR1298742.5232	IGHV6-1 304 0 
SRR1298742.8993	IGHV3-74 290 21 
SRR1298742.7552	IGHV6-1 302 7 
SRR1298742.3395	IGHV4-34 288 15 
SRR1298742.5668	IGHV3-74 268 14 
SRR1298742.1665	IGHV1-46 296 12 
SRR1298742.865	IGHV4-34 288 16 
SRR1298742.8351	IGHV1-2 292 16 
SRR1298742.3312	IGHV3-74 290 21 
SRR1298742.2247	IGHV4-34 288 16 
SRR1298742.9255	IGHV3-49 305 3 
SRR1298742.2835	IGHV1-8 295 8 
SRR1298742.4983	IGHV1-8 295 7 
SRR1298742.1460	IGHV3-49 248 1 
SRR1298742.483	IGHV1-2 292 16 
SRR1298742.7704	IGHV1-46 296 11 
SRR1298742.1743	IGHV4-34 288 15 
SRR1298742.5538	IGHV3-9 293 18 
SRR1298742.1320	IGHV1-46 296 11 
SRR1298742.3008	IGHV1-46 296 11 
SRR1298742.1967	IGHV1-46 295 19 
SRR1298742.2108	IGHV4-59/61 291 11 
SRR1298742.1683	IGHV2-5 301 26 
SRR1298742.4000	IGHV1-2 292 18 
SRR1298742.4959	IGHV6-1 304 8 
SRR1298742.6842	IGHV3-74 290 21 
SRR1298742.8007	IGHV1-2 292 16 
SRR1298742.8941	IGHV3-74 291 21 
SRR1298742.2678	IGHV4-34 288 15 
SRR1298742.7119	IGHV1-2 292 16 
SRR1298742.2686	IGHV1-8 295 7 
SRR1298742.9359	IGHV1-8 295 7 
SRR1298742.7544	IGHV1-2 292 16 
SRR1298742.7353	IGHV4-59/61 298 15 
SRR1298742.7311	IGHV1-8 295 7 
SRR1298742.8677	IGHV3-49 301 0 
SRR1298742.4992	IGHV3-53/66 292 9 
SRR1298742.5178	IGHV4-34 290 29 
SRR1298742.9300	IGHV3-74 291 21 
SRR1298742.8973	IGHV3-74 291 21 
SRR1298742.350	IGHV6-1 305 3 
SRR1298742.7226	IGHV3-49 297 1 
SRR1298742.253	IGHV4-34 288 16 
SRR1298742.4988	IGHV6-1 304 7 
SRR1298742.117	IGHV1-2 292 16 
SRR1298742.1081	IGHV1-2 292 16 
SRR1298742.4720	IGHV6-1 304 7 
SRR1298742.5726	IGHV1-2 292 16 
SRR1298742.957	IGHV2-5 295 9 
SRR1298742.15	IGHV1-69 290 38 
SRR1298742.3760	IGHV4-34 290 26 
SRR1298742.5079	IGHV1-46 296 14 
SRR1298742.5228	IGHV4-34 288 15 
SRR1298742.7524	IGHV1-2 292 16 
SRR1298742.4051	IGHV4-34 287 32 
SRR1298742.3537	IGHV4-34 272 30 
SRR1298742.4310	IGHV3-74 290 21 
SRR1298742.3043	IGHV3-74 290 21 
SRR1298742.8648	IGHV3-74 290 21 
SRR1298742.9404	IGHV6-1 304 0 
SRR1298742.3963	IGHV1-8 295 8 
SRR1298742.3906	IGHV1-46 297 15 
SRR1298742.9399	IGHV1-46 296 13 
SRR1298742.3920	IGHV1-2 292 17 
SRR1298742.8217	IGHV1-46 296 12 
SRR1298742.7535	IGHV4-34 287 33 
SRR1298742.8939	IGHV6-1 304 0 
SRR1298742.7530	IGHV1-2 292 16 
SRR1298742.2165	IGHV1-2 292 16 
SRR1298742.8347	IGHV6-1 302 7 
SRR1298742.6404	IGHV1-46 296 12 
SRR1298742.3756	IGHV4-34 287 35 
SRR1298742.3448	IGHV1-46 296 12 
SRR1298742.1092	IGHV6-1 304 8 
SRR1298742.2230	IGHV1-46 296 12 
SRR1298742.7767	IGHV4-34 288 15 
SRR1298742.6198	IGHV1-46 296 12 
SRR1298742.7623	IGHV1-8 294 7 
SRR1298742.4087	IGHV1-2 292 16 
SRR1298742.847	IGHV1-2 292 16 
SRR1298742.1386	IGHV3-74 296 11 
SRR1298742.9357	IGHV6-1 302 8 
SRR1298742.8790	IGHV2-5 301 26 
SRR1298742.4602	IGHV3-74 290 13 
SRR1298742.4952	IGHV1-2 292 16 
SRR1298742.1442	IGHV1-2 293 16 
SRR1298742.2215	IGHV1-2 292 16 
SRR1298742.7853	IGHV3-49 300 0 
SRR1298742.6688	IGHV1-2 292 16 
SRR1298742.523	IGHV1-8 295 8 
SRR1298742.1303	IGHV1-2 292 16 
SRR1298742.9035	IGHV1-8 295 7 
